Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
001,0001,4200732,420,Police,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,"7,309.85",ACTUALS,,"2,015"
370,0480,3990703,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"358,240.71",ACTUALS,,"2,015"
066,5100,5200330,520,Public Transportation,52890002,52,Professional Services,SHIPPING / FREIGHT,63.73,ACTUALS,,"2,015"
001,0001,5800201,580,Development Services,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,129.88,ACTUALS,,"2,015"
001,0001,4500110,450,Fire,51070007,51,Personnel Services,IAFF ACTIVE HEALTH SUBSIDY,"176,591.38",ACTUALS,,"2,015"
001,0003,0700202,070,Municipal Counselor,52049001,52,Professional Services,EMPLOYEE TRAINING,0.00,ACTUALS,,"2,015"
030,0150,4500204,450,Fire,51070007,51,Personnel Services,IAFF ACTIVE HEALTH SUBSIDY,"426,011.71",ACTUALS,,"2,015"
003,2147,3305503,330,Public Works,52250001,52,Professional Services,ADVERTISING,46.62,ACTUALS,,"2,015"
001,0001,2800101,280,Finance,59010007,59,Transfers,TRANSFER TO FUND 039 CIP,"95,000.00",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"38,093.52",ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,956.54,ACTUALS,,"2,015"
001,0001,5800503,580,Development Services,51010001,51,Personnel Services,SALARIES AND WAGES,"296,597.33",ACTUALS,,"2,015"
001,0001,4200733,420,Police,53040001,53,Materials and Supplies,JANITOR SUPPLIES,2.00,ACTUALS,,"2,015"
715,1778,0406107,040,City Manager,59010199,59,Transfers,TRANSFER TO SPECIAL PURPOSE,"-62,576.59",ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"17,978.50",ACTUALS,,"2,015"
001,0001,5500517,550,Parks,52130001,52,Professional Services,MEMBERSHIPS,"3,528.50",ACTUALS,,"2,015"
001,0001,5800203,580,Development Services,51510004,51,Personnel Services,EMPLOYEE PARKING,"43,496.98",ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,52010025,52,Professional Services,BOTTLED GAS,319.38,ACTUALS,,"2,015"
511,0800,5112101,511,Airport,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,133.02,ACTUALS,,"2,015"
001,0003,1000302,100,Municipal Court,51070003,51,Personnel Services,INDEMNITY ADMIN,63.22,ACTUALS,,"2,015"
001,0001,2800100,280,Finance,53010001,53,Materials and Supplies,OFFICE SUPPLIES,37.89,ACTUALS,,"2,015"
370,0480,3990702,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"81,541.15",ACTUALS,,"2,015"
020,0100,4200842,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,791.16,ACTUALS,,"2,015"
001,0001,5800202,580,Development Services,51510004,51,Personnel Services,EMPLOYEE PARKING,"23,748.47",ACTUALS,,"2,015"
001,0001,1900204,190,City Clerk,51010016,51,Personnel Services,VACATION,"5,017.23",ACTUALS,,"2,015"
001,0001,4200843,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"212,150.97",ACTUALS,,"2,015"
350,0455,3500314,350,General Services,51070003,51,Personnel Services,INDEMNITY ADMIN,7.74,ACTUALS,,"2,015"
001,0001,5500414,550,Parks,52280022,52,Professional Services,CHARGEBACK FUEL,"1,075.88",ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,"2,980.80",ACTUALS,,"2,015"
750,1605,3305412,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,28.67,ACTUALS,,"2,015"
001,0001,0400302,040,City Manager,51010007,51,Personnel Services,OVERTIME WAGES,-0.01,ACTUALS,,"2,015"
001,0001,5500310,550,Parks,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"2,936.78",ACTUALS,,"2,015"
001,0001,4200108,420,Police,52400004,52,Professional Services,OFFICE EQUIPMENT RENTAL,"5,882.16",ACTUALS,,"2,015"
001,0001,0700201,070,Municipal Counselor,51010001,51,Personnel Services,SALARIES AND WAGES,"92,624.46",ACTUALS,,"2,015"
001,0001,2400306,240,Planning,51010016,51,Personnel Services,VACATION,"10,651.23",ACTUALS,,"2,015"
001,0001,5800201,580,Development Services,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"166,921.62",ACTUALS,,"2,015"
001,0001,4200733,420,Police,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,563.99,ACTUALS,,"2,015"
003,2050,3305202,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,898.76,ACTUALS,,"2,015"
001,0001,4500110,450,Fire,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT,"2,273,902.00",ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"2,294.82",ACTUALS,,"2,015"
003,2137,3305005,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"46,426.25",ACTUALS,,"2,015"
001,0001,0400503,040,City Manager,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,319.21,ACTUALS,,"2,015"
250,0460,2501601,250,Information Technology,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"105,627.64",ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,52130004,52,Professional Services,SUBSCRIPTIONS,"2,005.00",ACTUALS,,"2,015"
001,0001,3500210,350,General Services,52280022,52,Professional Services,CHARGEBACK FUEL,280.49,ACTUALS,,"2,015"
001,0001,4200843,420,Police,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"37,680.91",ACTUALS,,"2,015"
001,0001,4200847,420,Police,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"39,073.25",ACTUALS,,"2,015"
750,1672,3305002,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"3,669.10",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,51010016,51,Personnel Services,VACATION,"33,469.26",ACTUALS,,"2,015"
285,0465,2800110,280,Finance,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"1,549.79",ACTUALS,,"2,015"
003,2147,3305003,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"5,913,616.64",ACTUALS,,"2,015"
001,0001,5800403,580,Development Services,51070002,51,Personnel Services,HMO ADMIN,84.06,ACTUALS,,"2,015"
020,0100,4200732,420,Police,51070002,51,Personnel Services,HMO ADMIN,157.86,ACTUALS,,"2,015"
019,6150,2409200,240,Planning,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,164.62,ACTUALS,,"2,015"
001,0001,4200732,420,Police,52400004,52,Professional Services,OFFICE EQUIPMENT RENTAL,"4,566.89",ACTUALS,,"2,015"
285,0465,2800702,280,Finance,59010073,59,Transfers,TRANSFER TO MFA P&L,"2,630,850.00",ACTUALS,,"2,015"
399,3001,3990204,399,Utilities,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"13,586.71",ACTUALS,,"2,015"
001,0001,0100101,010,Mayor and Council,51070002,51,Personnel Services,HMO ADMIN,19.83,ACTUALS,,"2,015"
001,0001,1600402,160,Personnel,51070002,51,Personnel Services,HMO ADMIN,108.13,ACTUALS,,"2,015"
001,0001,5500309,550,Parks,52070001,52,Professional Services,ELECTRICITY,"14,981.91",ACTUALS,,"2,015"
511,0800,5112106,511,Airport,51010016,51,Personnel Services,VACATION,"9,275.59",ACTUALS,,"2,015"
001,0001,4200733,420,Police,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"788,887.20",ACTUALS,,"2,015"
001,0001,4200621,420,Police,52130004,52,Professional Services,SUBSCRIPTIONS,531.29,ACTUALS,,"2,015"
001,0001,5500415,550,Parks,53010001,53,Materials and Supplies,OFFICE SUPPLIES,90.99,ACTUALS,,"2,015"
060,0329,9801004,980,Non Departmental,59010212,59,Transfers,TSF TO PPA BID/LATE PENALTY,"2,272.83",ACTUALS,,"2,015"
030,0150,4500110,450,Fire,51510035,51,Personnel Services,WAGE ADJUSTMENT-SALARY REIMB,"102,392.44",ACTUALS,,"2,015"
001,0001,4200109,420,Police,53890004,53,Materials and Supplies,CLOTHING & OTHER,196.84,ACTUALS,,"2,015"
019,6700,3303500,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"82,606.84",ACTUALS,,"2,015"
066,5100,5200101,520,Public Transportation,51010013,51,Personnel Services,SICK LEAVE,133.52,ACTUALS,,"2,015"
399,3501,3990602,399,Utilities,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"1,555.67",ACTUALS,,"2,015"
039,0175,2803900,280,Finance,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,"2,065.00",ACTUALS,,"2,015"
003,2097,3305301,330,Public Works,54010001,54,Capital Purchase,LAND,"80,000.00",ACTUALS,,"2,015"
003,2127,3305101,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"7,005.00",ACTUALS,,"2,015"
350,0455,3500312,350,General Services,52049001,52,Professional Services,EMPLOYEE TRAINING,808.00,ACTUALS,,"2,015"
001,0001,4200732,420,Police,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,298.62,ACTUALS,,"2,015"
030,0150,4500203,450,Fire,51010016,51,Personnel Services,VACATION,"508,436.91",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,148.20,ACTUALS,,"2,015"
001,0001,5500515,550,Parks,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,92.43,ACTUALS,,"2,015"
001,0001,4200106,420,Police,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,"4,005.91",ACTUALS,,"2,015"
350,0455,3500314,350,General Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"2,137.44",ACTUALS,,"2,015"
399,3001,3990302,399,Utilities,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,567.06,ACTUALS,,"2,015"
001,0001,5500517,550,Parks,53040046,53,Materials and Supplies,REPAIR & MAINT PARTS-PARKS,"48,467.71",ACTUALS,,"2,015"
001,0001,3500101,350,General Services,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"12,018.22",ACTUALS,,"2,015"
001,0001,5800502,580,Development Services,52040058,52,Professional Services,PROFESSIONAL SVC-TEMP LABOR,"18,899.10",ACTUALS,,"2,015"
001,0001,5800501,580,Development Services,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,"1,477.60",ACTUALS,,"2,015"
330,0075,3300101,330,Public Works,51010001,51,Personnel Services,SALARIES AND WAGES,"39,081.93",ACTUALS,,"2,015"
399,3001,3990506,399,Utilities,52340039,52,Professional Services,COPIER MAINTENANCE AND OVERAGE,300.00,ACTUALS,,"2,015"
020,0100,4200733,420,Police,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,39.90,ACTUALS,,"2,015"
330,0075,3301111,330,Public Works,53070009,53,Materials and Supplies,FOOD,"1,975.00",ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"25,543.37",ACTUALS,,"2,015"
001,0001,5500517,550,Parks,51010001,51,Personnel Services,SALARIES AND WAGES,"2,508,282.09",ACTUALS,,"2,015"
285,0465,2800101,280,Finance,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,685.66,ACTUALS,,"2,015"
001,0001,2800501,280,Finance,51130004,51,Personnel Services,CAR ALLOWANCE,38.77,ACTUALS,,"2,015"
399,3001,3990101,399,Utilities,51130004,51,Personnel Services,CAR ALLOWANCE,"1,508.93",ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,52070001,52,Professional Services,ELECTRICITY,"10,101.57",ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,275.76,ACTUALS,,"2,015"
001,0001,3300301,330,Public Works,51010001,51,Personnel Services,SALARIES AND WAGES,"3,941,641.23",ACTUALS,,"2,015"
001,0001,4200845,420,Police,51010007,51,Personnel Services,OVERTIME WAGES,"18,680.79",ACTUALS,,"2,015"
020,0100,4200101,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,155.05,ACTUALS,,"2,015"
003,2087,3305005,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"9,418.49",ACTUALS,,"2,015"
030,0150,4500110,450,Fire,51010016,51,Personnel Services,VACATION,"42,611.83",ACTUALS,,"2,015"
001,0001,3300802,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"88,855.68",ACTUALS,,"2,015"
001,0001,5500517,550,Parks,52040059,52,Professional Services,PROFESSIONAL SVC-TRAVEL,"10,396.00",ACTUALS,,"2,015"
039,0175,0403900,040,City Manager,59010204,59,Transfers,TRANSFER TO GRANT MATCH,"9,783.55",ACTUALS,,"2,015"
001,0001,4200101,420,Police,52890022,52,Professional Services,OTHER_SERVICE-STREEL_LEVEL-2-C,95.24,ACTUALS,,"2,015"
001,0001,0700703,070,Municipal Counselor,51070002,51,Personnel Services,HMO ADMIN,75.62,ACTUALS,,"2,015"
001,0001,5800502,580,Development Services,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"7,415.23",ACTUALS,,"2,015"
001,0001,5800502,580,Development Services,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"164,517.52",ACTUALS,,"2,015"
350,0455,3500312,350,General Services,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"3,551.65",ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,51510004,51,Personnel Services,EMPLOYEE PARKING,"3,316.39",ACTUALS,,"2,015"
399,3501,3990404,399,Utilities,52100010,52,Professional Services,VEH LICENSE FEES,403.09,ACTUALS,,"2,015"
001,0001,4200842,420,Police,51070002,51,Personnel Services,HMO ADMIN,28.48,ACTUALS,,"2,015"
001,0001,0700202,070,Municipal Counselor,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"63,543.80",ACTUALS,,"2,015"
001,0001,4200845,420,Police,53010001,53,Materials and Supplies,OFFICE SUPPLIES,853.68,ACTUALS,,"2,015"
001,0001,2400101,240,Planning,52130001,52,Professional Services,MEMBERSHIPS,"3,197.50",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,"20,701.03",ACTUALS,,"2,015"
003,2030,3305202,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,"1,177.53",ACTUALS,,"2,015"
022,0121,4200733,420,Police,53010013,53,Materials and Supplies,NON-CAPITAL OFFICE MACHINES,135.00,ACTUALS,,"2,015"
001,0001,3500208,350,General Services,52280022,52,Professional Services,CHARGEBACK FUEL,"25,345.66",ACTUALS,,"2,015"
001,0001,4200845,420,Police,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"126,632.46",ACTUALS,,"2,015"
070,0350,4200105,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,15.53,ACTUALS,,"2,015"
020,0100,4200621,420,Police,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"1,788,900.92",ACTUALS,,"2,015"
001,0001,5500413,550,Parks,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,450.00,ACTUALS,,"2,015"
715,1778,0406107,040,City Manager,54040043,54,Capital Purchase,CAPITALIZED ADVERTISING,55.10,ACTUALS,,"2,015"
001,0001,2400507,240,Planning,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"33,568.70",ACTUALS,,"2,015"
039,0175,2503900,250,Information Technology,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"12,847.80",ACTUALS,,"2,015"
250,0460,2500101,250,Information Technology,51070002,51,Personnel Services,HMO ADMIN,20.40,ACTUALS,,"2,015"
001,0001,3300101,330,Public Works,51070002,51,Personnel Services,HMO ADMIN,15.27,ACTUALS,,"2,015"
020,0100,4200841,420,Police,51510035,51,Personnel Services,WAGE ADJUSTMENT-SALARY REIMB,"136,409.12",ACTUALS,,"2,015"
716,1780,0400406,040,City Manager,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP,807.00,ACTUALS,,"2,015"
066,5100,5200110,520,Public Transportation,51010001,51,Personnel Services,SALARIES AND WAGES,"10,958.62",ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,629.45,ACTUALS,,"2,015"
001,0001,2400306,240,Planning,51510004,51,Personnel Services,EMPLOYEE PARKING,"3,432.55",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,52010007,52,Professional Services,MAINTENANCE SERVICES CONTRACT,648.38,ACTUALS,,"2,015"
750,1642,5507206,550,Parks,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,53.22,ACTUALS,,"2,015"
021,0250,9804601,980,Non Departmental,55070010,55,Debt Service,DS - JUDGEMENT INT,"132,605.81",ACTUALS,,"2,015"
001,0001,4200843,420,Police,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"6,429.50",ACTUALS,,"2,015"
001,0001,4200106,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,978.41,ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,965.71,ACTUALS,,"2,015"
001,0001,3300801,330,Public Works,51510007,51,Personnel Services,EMPLOYEE BUS PASS,400.00,ACTUALS,,"2,015"
030,0150,4500402,450,Fire,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"139,435.95",ACTUALS,,"2,015"
399,3501,3990204,399,Utilities,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"1,049.49",ACTUALS,,"2,015"
399,3501,3990404,399,Utilities,53040014,53,Materials and Supplies,MAINTENANCE SUPPLIES,261.74,ACTUALS,,"2,015"
001,0003,0700202,070,Municipal Counselor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"9,411.34",ACTUALS,,"2,015"
716,1780,0400406,040,City Manager,51070003,51,Personnel Services,INDEMNITY ADMIN,488.29,ACTUALS,,"2,015"
250,0460,2501402,250,Information Technology,52010069,52,Professional Services,ITC CASH REGISTER SYSTEMS,"67,184.91",ACTUALS,,"2,015"
066,5100,5200350,520,Public Transportation,53890022,53,Materials and Supplies,OTHER SUPPLIES,0.00,ACTUALS,,"2,015"
001,0001,5500312,550,Parks,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,0.00,ACTUALS,,"2,015"
001,0001,5800203,580,Development Services,51010016,51,Personnel Services,VACATION,"163,689.05",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,52070010,52,Professional Services,TELEPHONE,51.73,ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,52250001,52,Professional Services,ADVERTISING,398.60,ACTUALS,,"2,015"
001,0001,4200621,420,Police,52280022,52,Professional Services,CHARGEBACK FUEL,"993,062.90",ACTUALS,,"2,015"
003,2117,3305001,330,Public Works,53040048,53,Materials and Supplies,CHIP SEAL MATERIALS,323.75,ACTUALS,,"2,015"
030,0150,4500301,450,Fire,51010001,51,Personnel Services,SALARIES AND WAGES,"550,998.18",ACTUALS,,"2,015"
001,0001,4500402,450,Fire,51010016,51,Personnel Services,VACATION,"28,517.39",ACTUALS,,"2,015"
330,0076,3305302,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,"80,875.00",ACTUALS,,"2,015"
001,0001,2400304,240,Planning,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"2,580.71",ACTUALS,,"2,015"
511,0800,5112403,511,Airport,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"25,202.68",ACTUALS,,"2,015"
001,0001,2800602,280,Finance,51010013,51,Personnel Services,SICK LEAVE,"15,159.24",ACTUALS,,"2,015"
001,0001,3100110,310,City Auditor,52280004,52,Professional Services,CHARGEBACK-IT,"44,585.00",ACTUALS,,"2,015"
001,0001,3300513,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"36,039.43",ACTUALS,,"2,015"
511,0800,5112503,511,Airport,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"8,605.54",ACTUALS,,"2,015"
001,0001,1600501,160,Personnel,52040004,52,Professional Services,PROFESSIONAL SVC-MEDICAL,"194,142.07",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,151.94,ACTUALS,,"2,015"
020,0100,4200621,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"200,617.75",ACTUALS,,"2,015"
001,0001,3300901,330,Public Works,52049001,52,Professional Services,EMPLOYEE TRAINING,650.00,ACTUALS,,"2,015"
001,0001,0700301,070,Municipal Counselor,51010001,51,Personnel Services,SALARIES AND WAGES,"864,029.46",ACTUALS,,"2,015"
250,0460,2501307,250,Information Technology,51010016,51,Personnel Services,VACATION,"31,956.81",ACTUALS,,"2,015"
001,0001,0700110,070,Municipal Counselor,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES,48.85,ACTUALS,,"2,015"
001,0001,3300304,330,Public Works,53890004,53,Materials and Supplies,CLOTHING & OTHER,698.61,ACTUALS,,"2,015"
001,0001,4200733,420,Police,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"64,087.00",ACTUALS,,"2,015"
020,0100,4200621,420,Police,52049002,52,Professional Services,EMPLOYEE TUITION REIMBURSEMENT,"3,135.07",ACTUALS,,"2,015"
051,0280,5500413,550,Parks,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"82,563.00",ACTUALS,,"2,015"
250,0460,2501205,250,Information Technology,51010016,51,Personnel Services,VACATION,"27,872.93",ACTUALS,,"2,015"
399,3001,3990402,399,Utilities,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"8,193.50",ACTUALS,,"2,015"
250,0460,2501203,250,Information Technology,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"21,015.43",ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,52340019,52,Professional Services,BUILDING MAINTENANCE,"2,275.00",ACTUALS,,"2,015"
250,0460,2501402,250,Information Technology,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"36,595.85",ACTUALS,,"2,015"
350,0455,3500110,350,General Services,52340028,52,Professional Services,CUSTODIAL SERVICE,"4,224.00",ACTUALS,,"2,015"
001,0001,3300902,330,Public Works,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"4,164.24",ACTUALS,,"2,015"
001,0001,0400503,040,City Manager,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"6,489.58",ACTUALS,,"2,015"
001,0001,2800504,280,Finance,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"5,985.42",ACTUALS,,"2,015"
001,0001,4200732,420,Police,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"60,381.05",ACTUALS,,"2,015"
001,0001,0700202,070,Municipal Counselor,51130004,51,Personnel Services,CAR ALLOWANCE,352.12,ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,53890001,53,Materials and Supplies,PURCHASING CARD PR,35.31,ACTUALS,,"2,015"
001,0001,5800503,580,Development Services,51010013,51,Personnel Services,SICK LEAVE,"16,315.12",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"2,512.56",ACTUALS,,"2,015"
001,0001,0400501,040,City Manager,51010016,51,Personnel Services,VACATION,"18,918.73",ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"112,745.03",ACTUALS,,"2,015"
399,3001,3990506,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"198,281.39",ACTUALS,,"2,015"
001,0001,4500203,450,Fire,52040004,52,Professional Services,PROFESSIONAL SVC-MEDICAL,"58,500.00",ACTUALS,,"2,015"
017,0503,4200843,420,Police,52049001,52,Professional Services,EMPLOYEE TRAINING,625.00,ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,51010028,51,Personnel Services,DISABILITY PAYMENTS,"33,493.15",ACTUALS,,"2,015"
001,0001,5800101,580,Development Services,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"32,030.07",ACTUALS,,"2,015"
001,0001,4500301,450,Fire,52310001,52,Professional Services,PRINTING & BINDING,"7,135.00",ACTUALS,,"2,015"
001,0001,5500312,550,Parks,51010016,51,Personnel Services,VACATION,0.00,ACTUALS,,"2,015"
001,0001,0700110,070,Municipal Counselor,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"2,043.00",ACTUALS,,"2,015"
001,0001,5500413,550,Parks,53890022,53,Materials and Supplies,OTHER SUPPLIES,"12,505.97",ACTUALS,,"2,015"
001,0001,0400301,040,City Manager,51510007,51,Personnel Services,EMPLOYEE BUS PASS,363.00,ACTUALS,,"2,015"
019,6160,4209011,420,Police,52220010,52,Professional Services,GM REIMBURSE TO OTHERS,"10,504.69",ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,919.48,ACTUALS,,"2,015"
001,0001,5500410,550,Parks,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,199.99,ACTUALS,,"2,015"
001,0001,2400101,240,Planning,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,-113.97,ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"1,774.98",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,51010007,51,Personnel Services,OVERTIME WAGES,361.89,ACTUALS,,"2,015"
001,0001,5800501,580,Development Services,52280020,52,Professional Services,CHGBCK-NON-TAR REP LBR & PARTS,"2,914.84",ACTUALS,,"2,015"
019,6160,4209099,420,Police,51010022,51,Personnel Services,SALARY ADJUSTMENTS,"26,290.95",ACTUALS,,"2,015"
001,0001,5800203,580,Development Services,53890004,53,Materials and Supplies,CLOTHING & OTHER,"5,643.52",ACTUALS,,"2,015"
001,0001,5800203,580,Development Services,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"15,404.04",ACTUALS,,"2,015"
019,6160,4209009,420,Police,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"118,251.34",ACTUALS,,"2,015"
017,0503,4200625,420,Police,52049001,52,Professional Services,EMPLOYEE TRAINING,"11,789.20",ACTUALS,,"2,015"
022,0121,4200621,420,Police,52890022,52,Professional Services,OTHER_SERVICE-STREEL_LEVEL-2-C,23.83,ACTUALS,,"2,015"
001,0001,0700201,070,Municipal Counselor,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"3,280.94",ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"80,756.15",ACTUALS,,"2,015"
019,6140,2408070,240,Planning,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,"30,722.92",ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,51010007,51,Personnel Services,OVERTIME WAGES,314.95,ACTUALS,,"2,015"
