budget_year,department,fund_code,account_type,account_category,amount
FY13-14,Library,2241,Expense,,6283
FY13-14,Library,2241,Expense,,39958
FY13-14,Library,2241,Expense,,50385
FY13-14,Library,2241,Expense,,77734
FY13-14,Library,2241,Expense,,4257
FY13-14,Library,1010,Expense,,49205
FY13-14,Library,1010,Expense,,3489
FY13-14,Library,1010,Expense,,3813
FY13-14,Library,1010,Expense,,1845
FY13-14,Library,2241,Expense,,178000
FY13-14,Library,2241,Expense,,91080
FY13-14,Library,2241,Expense,,13956
FY13-14,Library,2241,Expense,,4068
FY13-14,Library,2241,Expense,,49187
FY13-14,Library,2241,Expense,,62021
FY13-14,Library,2241,Expense,,91912
FY13-14,Library,2241,Expense,,3415
FY13-14,Library,1010,Expense,,504308
FY13-14,Library,2241,Expense,,179569
FY13-14,Library,2241,Expense,,3300
FY13-14,Library,2241,Expense,,4650
FY13-14,Library,2241,Expense,,49618
FY13-14,Library,2241,Expense,,62567
FY13-14,Library,2241,Expense,,85601
FY13-14,Library,2241,Expense,,10592
FY13-14,Library,1010,Expense,,56233
FY13-14,Library,1010,Expense,,3589
FY13-14,Library,1010,Expense,,15539
FY13-14,Library,1010,Expense,,19594
FY13-14,Library,1010,Expense,,26807
FY13-14,Library,2241,Expense,,162842
FY13-14,Library,2241,Expense,,1650
FY13-14,Library,2241,Expense,,3589
FY13-14,Library,2241,Expense,,44997
FY13-14,Library,2241,Expense,,56740
FY13-14,Library,2241,Expense,,77628
FY13-14,Library,1010,Expense,,24905
FY13-14,Library,1010,Expense,,1589
FY13-14,Library,1010,Expense,,6882
FY13-14,Library,1010,Expense,,8678
FY13-14,Library,1010,Expense,,11872
FY13-14,Library,2241,Expense,,218263
FY13-14,Library,2241,Expense,,1650
FY13-14,Library,2241,Expense,,3160
FY13-14,Library,2241,Expense,,60313
FY13-14,Library,2241,Expense,,76052
FY13-14,Library,2241,Expense,,104048
FY13-14,Library,2241,Expense,,4100
FY13-14,Library,2241,Expense,,12290
FY13-14,Library,2241,Expense,,7170
FY13-14,Library,2241,Expense,,680
FY13-14,Library,2241,Expense,,1100
FY13-14,Library,2241,Expense,,3400
FY13-14,Library,2241,Expense,,8510
FY13-14,Library,2241,Expense,,3000
FY13-14,Library,2241,Expense,,152068
FY13-14,Library,2241,Expense,,35712
FY13-14,Library,2241,Expense,,1650
FY13-14,Library,2241,Expense,,3432
FY13-14,Library,2241,Expense,,6978
FY13-14,Library,2241,Expense,,3382
FY13-14,Library,2241,Expense,,42021
FY13-14,Library,2241,Expense,,52986
FY13-14,Library,2241,Expense,,75260
FY13-14,Library,2241,Expense,,1340
FY13-14,Library,2241,Expense,,21000
FY13-14,Library,2241,Expense,,35926
FY13-14,Library,1010,Expense,,47052
FY13-14,Library,1010,Expense,,56233
FY13-14,Library,1010,Expense,,13002
FY13-14,Library,1010,Expense,,15539
FY13-14,Library,1010,Expense,,16395
FY13-14,Library,1010,Expense,,19594
FY13-14,Library,1010,Expense,,22430
FY13-14,Library,1010,Expense,,26807
FY13-14,Library,2241,Expense,,195336
FY13-14,Library,2241,Expense,,97099
FY13-14,Library,2241,Expense,,13956
FY13-14,Library,2241,Expense,,3950
FY13-14,Library,2241,Expense,,53977
FY13-14,Library,2241,Expense,,68062
FY13-14,Library,2241,Expense,,100644
FY13-14,Library,2241,Expense,,3641
FY13-14,Library,2241,Expense,,102439
FY13-14,Library,1010,Expense,,16289
FY13-14,Library,1010,Expense,,44676
FY13-14,Library,1010,Expense,,4501
FY13-14,Library,1010,Expense,,12345
FY13-14,Library,1010,Expense,,5676
FY13-14,Library,1010,Expense,,15567
FY13-14,Library,1010,Expense,,7765
FY13-14,Library,1010,Expense,,21297
FY13-14,Library,1010,Expense,,121380
FY13-14,Library,2241,Expense,,168216
FY13-14,Library,2241,Expense,,74863
FY13-14,Library,2241,Expense,,1650
FY13-14,Library,2241,Expense,,10467
FY13-14,Library,2241,Expense,,7351
FY13-14,Library,2241,Expense,,46483
FY13-14,Library,2241,Expense,,58613
FY13-14,Library,2241,Expense,,85993
FY13-14,Library,2241,Expense,,2807
FY13-14,Library,2241,Expense,,22000
FY13-14,Library,2241,Expense,,31743
FY13-14,Library,1010,Expense,,95248
FY13-14,Library,1010,Expense,,13853
FY13-14,Library,1010,Expense,,1833
FY13-14,Library,1010,Expense,,3489
FY13-14,Library,1010,Expense,,3003
FY13-14,Library,1010,Expense,,26320
FY13-14,Library,1010,Expense,,33188
FY13-14,Library,1010,Expense,,46479
FY13-14,Library,1010,Expense,,519
FY13-14,Library,2241,Expense,,53764
FY13-14,Library,2241,Expense,,1599
FY13-14,Library,2241,Expense,,14856
FY13-14,Library,2241,Expense,,18733
FY13-14,Library,2241,Expense,,25629
FY13-14,Library,2241,Expense,,27000
FY13-14,Library,2241,Expense,,21381
FY13-14,Library,1010,Expense,,91889
FY13-14,Library,1010,Expense,,3432
FY13-14,Library,1010,Expense,,25392
FY13-14,Library,1010,Expense,,32017
FY13-14,Library,1010,Expense,,43804
FY13-14,Library,2241,Expense,,58642
FY13-14,Library,2241,Expense,,11883
FY13-14,Library,2241,Expense,,3489
FY13-14,Library,2241,Expense,,594
FY13-14,Library,2241,Expense,,16204
FY13-14,Library,2241,Expense,,20433
FY13-14,Library,2241,Expense,,28876
FY13-14,Library,2241,Expense,,446
FY13-14,Library,2241,Expense,,22800
FY13-14,Library,2241,Expense,,68951
FY13-14,Library,1010,Expense,,100909
FY13-14,Library,1010,Expense,,1833
FY13-14,Library,1010,Expense,,27884
FY13-14,Library,1010,Expense,,35161
FY13-14,Library,1010,Expense,,48104
FY13-14,Library,2241,Expense,,43693
FY13-14,Library,2241,Expense,,80006
FY13-14,Library,2241,Expense,,1599
FY13-14,Library,2241,Expense,,6978
FY13-14,Library,2241,Expense,,12074
FY13-14,Library,2241,Expense,,15224
FY13-14,Library,2241,Expense,,27030
FY13-14,Library,2241,Expense,,3000
FY13-14,Library,2241,Expense,,28235
FY13-14,Library,1010,Expense,,148122
FY13-14,Library,1010,Expense,,56233
FY13-14,Library,1010,Expense,,3589
FY13-14,Library,1010,Expense,,40931
FY13-14,Library,1010,Expense,,15539
FY13-14,Library,1010,Expense,,51611
FY13-14,Library,1010,Expense,,19594
FY13-14,Library,1010,Expense,,70611
FY13-14,Library,1010,Expense,,26807
FY13-14,Library,2241,Expense,,170910
FY13-14,Library,2241,Expense,,81819
FY13-14,Library,2241,Expense,,936
FY13-14,Library,2241,Expense,,13956
FY13-14,Library,2241,Expense,,47227
FY13-14,Library,2241,Expense,,59551
FY13-14,Library,2241,Expense,,87816
FY13-14,Library,2241,Expense,,3068
FY13-14,Library,2241,Expense,,15600
FY13-14,Library,2241,Expense,,179010
FY13-14,Library,2241,Expense,,500
FY13-14,Library,1010,Expense,,37475
FY13-14,Library,1010,Expense,,10355
FY13-14,Library,1010,Expense,,13057
FY13-14,Library,1010,Expense,,17864
FY13-14,Library,2241,Expense,,212955
FY13-14,Library,2241,Expense,,45024
FY13-14,Library,2241,Expense,,3432
FY13-14,Library,2241,Expense,,10467
FY13-14,Library,2241,Expense,,58845
FY13-14,Library,2241,Expense,,74201
FY13-14,Library,2241,Expense,,105007
FY13-14,Library,2241,Expense,,1688
FY13-14,Library,2241,Expense,,26562
FY13-14,Library,1010,Expense,,134881
FY13-14,Library,1010,Expense,,1650
FY13-14,Library,1010,Expense,,4085
FY13-14,Library,1010,Expense,,37272
FY13-14,Library,1010,Expense,,46997
FY13-14,Library,1010,Expense,,64300
FY13-14,Library,1010,Expense,,24714
FY13-14,Library,2241,Expense,,129202
FY13-14,Library,2241,Expense,,48196
FY13-14,Library,2241,Expense,,56422
FY13-14,Library,2241,Expense,,6978
FY13-14,Library,2241,Expense,,6811
FY13-14,Library,2241,Expense,,35702
FY13-14,Library,2241,Expense,,13318
FY13-14,Library,2241,Expense,,45019
FY13-14,Library,2241,Expense,,16793
FY13-14,Library,2241,Expense,,65964
FY13-14,Library,2241,Expense,,22975
FY13-14,Library,2241,Expense,,2116
FY13-14,Library,2241,Expense,,255660
FY13-14,Library,1010,Expense,,140649
FY13-14,Library,1010,Expense,,3489
FY13-14,Library,1010,Expense,,8413
FY13-14,Library,1010,Expense,,27613
FY13-14,Library,1010,Expense,,34818
FY13-14,Library,1010,Expense,,50792
FY13-14,Library,1010,Expense,,1527
FY13-14,Library,2241,Expense,,170563
FY13-14,Library,2241,Expense,,44676
FY13-14,Library,2241,Expense,,121819
FY13-14,Library,2241,Expense,,10467
FY13-14,Library,2241,Expense,,16976
FY13-14,Library,2241,Expense,,47132
FY13-14,Library,2241,Expense,,12345
FY13-14,Library,2241,Expense,,59431
FY13-14,Library,2241,Expense,,15567
FY13-14,Library,2241,Expense,,90752
FY13-14,Library,2241,Expense,,21297
FY13-14,Library,2241,Expense,,4568
FY13-14,Library,2241,Expense,,34004
FY13-14,Library,1010,Expense,,99623
FY13-14,Library,1010,Expense,,1599
FY13-14,Library,1010,Expense,,3489
FY13-14,Library,1010,Expense,,650
FY13-14,Library,1010,Expense,,24419
FY13-14,Library,1010,Expense,,30791
FY13-14,Library,1010,Expense,,42998
FY13-14,Library,1010,Expense,,422
FY13-14,Library,2241,Expense,,72522
FY13-14,Library,2241,Expense,,25532
FY13-14,Library,2241,Expense,,1833
FY13-14,Library,2241,Expense,,6978
FY13-14,Library,2241,Expense,,3827
FY13-14,Library,2241,Expense,,20040
FY13-14,Library,2241,Expense,,25270
FY13-14,Library,2241,Expense,,36550
FY13-14,Library,2241,Expense,,957
FY13-14,Library,2241,Expense,,55367
FY13-14,Library,1010,Expense,,176797
FY13-14,Library,1010,Expense,,3432
FY13-14,Library,1010,Expense,,6978
FY13-14,Library,1010,Expense,,40615
FY13-14,Library,1010,Expense,,51213
FY13-14,Library,1010,Expense,,72377
FY13-14,Library,1010,Expense,,1118
FY13-14,Library,2241,Expense,,46888
FY13-14,Library,2241,Expense,,13956
FY13-14,Library,2241,Expense,,3634
FY13-14,Library,2241,Expense,,1759
FY13-14,Library,2241,Expense,,47712
FY13-14,Library,1010,Expense,,56233
FY13-14,Library,1010,Expense,,15539
FY13-14,Library,1010,Expense,,19594
FY13-14,Library,1010,Expense,,26807
FY13-14,Library,1010,Expense,,134280
FY13-14,Library,2241,Expense,,152684
FY13-14,Library,2241,Expense,,145923
FY13-14,Library,2241,Expense,,1599
FY13-14,Library,2241,Expense,,10467
FY13-14,Library,2241,Expense,,11068
FY13-14,Library,2241,Expense,,42191
FY13-14,Library,2241,Expense,,53200
FY13-14,Library,2241,Expense,,84095
FY13-14,Library,2241,Expense,,5472
FY13-14,Library,2241,Expense,,40000
FY13-14,Library,2241,Expense,,10611
FY13-14,Library,1010,Expense,,91889
FY13-14,Library,1010,Expense,,3432
FY13-14,Library,1010,Expense,,25392
FY13-14,Library,1010,Expense,,32017
FY13-14,Library,1010,Expense,,43804
FY13-14,Library,2241,Expense,,60965
FY13-14,Library,2241,Expense,,12868
FY13-14,Library,2241,Expense,,6978
FY13-14,Library,2241,Expense,,1386
FY13-14,Library,2241,Expense,,16846
FY13-14,Library,2241,Expense,,21243
FY13-14,Library,2241,Expense,,30059
FY13-14,Library,2241,Expense,,483
FY13-14,Library,2241,Expense,,27000
FY13-14,Library,2241,Expense,,71924
FY13-14,Library,1010,Expense,,91889
FY13-14,Library,1010,Expense,,3432
FY13-14,Library,1010,Expense,,25392
FY13-14,Library,1010,Expense,,32017
FY13-14,Library,1010,Expense,,43804
FY13-14,Library,2241,Expense,,67630
FY13-14,Library,2241,Expense,,44329
FY13-14,Library,2241,Expense,,3489
FY13-14,Library,2241,Expense,,18688
FY13-14,Library,2241,Expense,,23565
FY13-14,Library,2241,Expense,,35674
FY13-14,Library,2241,Expense,,1662
FY13-14,Library,2241,Expense,,12408
FY13-14,Library,1010,Expense,,48196
FY13-14,Library,1010,Expense,,1833
FY13-14,Library,1010,Expense,,13318
FY13-14,Library,1010,Expense,,16793
FY13-14,Library,1010,Expense,,22975
FY13-14,Library,2163,Expense,,13581
FY13-14,Library,2163,Expense,,3489
FY13-14,Library,2163,Expense,,1053
FY13-14,Library,2163,Expense,,509
FY13-14,Library,2163,Expense,,50000
FY13-14,Library,2241,Expense,,102335
FY13-14,Library,2241,Expense,,11883
FY13-14,Library,2241,Expense,,1599
FY13-14,Library,2241,Expense,,3489
FY13-14,Library,2241,Expense,,594
FY13-14,Library,2241,Expense,,28278
FY13-14,Library,2241,Expense,,35657
FY13-14,Library,2241,Expense,,49705
FY13-14,Library,2241,Expense,,446
FY13-14,Library,2241,Expense,,138756
FY13-14,Library,1010,Expense,,44676
FY13-14,Library,1010,Expense,,12345
FY13-14,Library,1010,Expense,,15567
FY13-14,Library,1010,Expense,,21297
FY13-14,Library,2241,Expense,,217864
FY13-14,Library,2241,Expense,,21191
FY13-14,Library,2241,Expense,,1650
FY13-14,Library,2241,Expense,,3489
FY13-14,Library,2241,Expense,,1170
FY13-14,Library,2241,Expense,,60201
FY13-14,Library,2241,Expense,,75912
FY13-14,Library,2241,Expense,,105499
FY13-14,Library,2241,Expense,,795
FY13-14,Library,2241,Expense,,10000
FY13-14,Library,2241,Expense,,14000
FY13-14,Library,2241,Expense,,268806
FY13-14,City Administrator,1610,Expense,,6668
FY13-14,City Administrator,1610,Expense,,426
FY13-14,City Administrator,1610,Expense,,1842
FY13-14,City Administrator,1610,Expense,,2323
FY13-14,City Administrator,1610,Expense,,3179
FY13-14,City Administrator,1760,Expense,,153045
FY13-14,City Administrator,1760,Expense,,271230
FY13-14,City Administrator,1760,Expense,,5548
FY13-14,City Administrator,1760,Expense,,4219
FY13-14,City Administrator,1760,Expense,,42291
FY13-14,City Administrator,1760,Expense,,74946
FY13-14,City Administrator,1760,Expense,,53327
FY13-14,City Administrator,1760,Expense,,94507
FY13-14,City Administrator,1760,Expense,,72958
FY13-14,City Administrator,1760,Expense,,129297
FY13-14,City Administrator,1760,Expense,,1675
FY13-14,City Administrator,1760,Expense,,278
FY13-14,City Administrator,1760,Expense,,4725
FY13-14,City Administrator,1760,Expense,,150
FY13-14,City Administrator,1760,Expense,,974
FY13-14,City Administrator,1760,Expense,,14600
FY13-14,City Administrator,1760,Expense,,500
FY13-14,City Administrator,1760,Expense,,111
FY13-14,City Administrator,1760,Expense,,24340
FY13-14,City Administrator,1760,Expense,,17612
FY13-14,City Administrator,1760,Expense,,20000
FY13-14,City Administrator,1760,Expense,,151
FY13-14,City Administrator,1760,Expense,,10262
FY13-14,City Administrator,1760,Expense,,5315
FY13-14,City Administrator,1760,Expense,,5500
FY13-14,City Administrator,1760,Expense,,500
FY13-14,City Administrator,1760,Expense,,180
FY13-14,City Administrator,1760,Expense,,100
FY13-14,City Administrator,1760,Expense,,3720
FY13-14,City Administrator,1760,Expense,,350
FY13-14,City Administrator,1760,Expense,,80500
FY13-14,City Administrator,1760,Expense,,3210
FY13-14,City Administrator,1760,Expense,,3500
FY13-14,City Administrator,1760,Expense,,5000
FY13-14,City Administrator,1760,Expense,,11290
FY13-14,City Administrator,1760,Expense,,400
FY13-14,City Administrator,1760,Expense,,350
FY13-14,City Administrator,1760,Expense,,100
FY13-14,City Administrator,1760,Expense,,100
FY13-14,City Administrator,1760,Expense,,640
FY13-14,City Administrator,1760,Expense,,14707
FY13-14,City Administrator,1760,Expense,,200
FY13-14,City Administrator,1760,Expense,,3770
FY13-14,City Administrator,1760,Expense,,6019
FY13-14,Community Services,1010,Expense,,48966
FY13-14,Community Services,1010,Expense,,13531
FY13-14,Community Services,1010,Expense,,17062
FY13-14,Community Services,1010,Expense,,23343
FY13-14,Community Services,2128,Expense,,140775
FY13-14,Community Services,2128,Expense,,341992
FY13-14,Community Services,2128,Expense,,8909
FY13-14,Community Services,2128,Expense,,94499
FY13-14,Community Services,2128,Expense,,38900
FY13-14,Community Services,2128,Expense,,49051
FY13-14,Community Services,2128,Expense,,119162
FY13-14,Community Services,2128,Expense,,163029
FY13-14,Community Services,2128,Expense,,67109
FY13-14,Community Services,2128,Expense,,2000
FY13-14,Community Services,2128,Expense,,1000
FY13-14,Community Services,2128,Expense,,12000
FY13-14,Community Services,2128,Expense,,500
FY13-14,Community Services,2128,Expense,,4515
FY13-14,Community Services,2128,Expense,,10000
FY13-14,Community Services,2128,Expense,,5000
FY13-14,Community Services,2128,Expense,,4998
FY13-14,Community Services,2128,Expense,,210821
FY13-14,Community Services,2128,Expense,,5306
FY13-14,Community Services,2128,Expense,,2000
FY13-14,Community Services,2128,Expense,,2000
FY13-14,Community Services,2128,Expense,,4500
FY13-14,Community Services,2128,Expense,,7213
FY13-14,Community Services,2128,Expense,,110201
FY13-14,Community Services,2128,Expense,,61664
FY13-14,Community Services,2128,Expense,,149804
FY13-14,Community Services,1010,Expense,,12816
FY13-14,Community Services,1010,Expense,,1282
FY13-14,Community Services,1010,Expense,,22429
FY13-14,Community Services,1010,Expense,,1282
FY13-14,Community Services,1010,Expense,,354
FY13-14,Community Services,1010,Expense,,354
FY13-14,Community Services,1010,Expense,,3542
FY13-14,Community Services,1010,Expense,,6198
FY13-14,Community Services,1010,Expense,,447
FY13-14,Community Services,1010,Expense,,447
FY13-14,Community Services,1010,Expense,,7815
FY13-14,Community Services,1010,Expense,,4466
FY13-14,Community Services,1010,Expense,,611
FY13-14,Community Services,1010,Expense,,611
FY13-14,Community Services,1010,Expense,,6110
FY13-14,Community Services,1010,Expense,,10692
FY13-14,Community Services,1010,Expense,,1889
FY13-14,Community Services,1010,Expense,,1889
FY13-14,Community Services,1010,Expense,,750
FY13-14,Community Services,1010,Expense,,1880
FY13-14,Community Services,1010,Expense,,600
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,5200
FY13-14,Community Services,1010,Expense,,380
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,1000
FY13-14,Community Services,1010,Expense,,3770
FY13-14,Community Services,1010,Expense,,1380
FY13-14,Community Services,1010,Expense,,5000
FY13-14,Community Services,1010,Expense,,2400
FY13-14,Community Services,1010,Expense,,2400
FY13-14,Community Services,1010,Expense,,520
FY13-14,Community Services,1010,Expense,,2920
FY13-14,Community Services,2120,Expense,,53879
FY13-14,Community Services,2120,Expense,,14888
FY13-14,Community Services,2120,Expense,,18774
FY13-14,Community Services,2120,Expense,,25684
FY13-14,Community Services,2120,Expense,,3856
FY13-14,Community Services,2120,Expense,,7510
FY13-14,Community Services,2120,Expense,,185389
FY13-14,Community Services,2120,Expense,,22136
FY13-14,Community Services,2120,Expense,,120
FY13-14,Community Services,2120,Expense,,80
FY13-14,Community Services,2120,Expense,,10452
FY13-14,Community Services,2120,Expense,,157
FY13-14,Community Services,2120,Expense,,3100
FY13-14,Community Services,2120,Expense,,1200
FY13-14,Community Services,2120,Expense,,86
FY13-14,Community Services,2120,Expense,,-17510
FY13-14,Community Services,2120,Expense,,8892
FY13-14,Community Services,2120,Expense,,23601
FY13-14,Community Services,2160,Expense,,29824
FY13-14,Community Services,2160,Expense,,2312
FY13-14,Community Services,2160,Expense,,1118
FY13-14,Community Services,2160,Expense,,2620
FY13-14,Community Services,2160,Expense,,1460
FY13-14,Community Services,2160,Expense,,275
FY13-14,Community Services,2160,Expense,,1200
FY13-14,Community Services,2160,Expense,,820
FY13-14,Community Services,2160,Expense,,390
FY13-14,Community Services,2160,Expense,,2000
FY13-14,Community Services,2160,Expense,,10236
FY13-14,Community Services,2213,Expense,,190540
FY13-14,Community Services,2213,Expense,,42651
FY13-14,Community Services,2213,Expense,,53780
FY13-14,Community Services,2213,Expense,,75595
FY13-14,Community Services,2213,Expense,,2244
FY13-14,Community Services,2213,Expense,,-3184
FY13-14,Community Services,2213,Expense,,1670
FY13-14,Community Services,2213,Expense,,3000
FY13-14,Community Services,2213,Expense,,3484
FY13-14,Community Services,2213,Expense,,793
FY13-14,Community Services,2213,Expense,,438984
FY13-14,Community Services,2213,Expense,,202000
FY13-14,Community Services,2213,Expense,,1344
FY13-14,Community Services,2213,Expense,,100
FY13-14,Community Services,2213,Expense,,600
FY13-14,Community Services,2213,Expense,,100
FY13-14,Community Services,2213,Expense,,1000
FY13-14,Community Services,2213,Expense,,1000
FY13-14,Community Services,2213,Expense,,484
FY13-14,Community Services,2213,Expense,,7652
FY13-14,Community Services,2213,Expense,,14010
FY13-14,Community Services,2213,Expense,,40800
FY13-14,Community Services,2213,Expense,,80031
FY13-14,Community Services,2213,Expense,,-10067
FY13-14,Community Services,1010,Expense,,88939
FY13-14,Community Services,1010,Expense,,85143
FY13-14,Community Services,1010,Expense,,49686
FY13-14,Community Services,1010,Expense,,85143
FY13-14,Community Services,1010,Expense,,123564
FY13-14,Community Services,1010,Expense,,85143
FY13-14,Community Services,1010,Expense,,4020
FY13-14,Community Services,1010,Expense,,4945
FY13-14,Community Services,1010,Expense,,3489
FY13-14,Community Services,1010,Expense,,2436
FY13-14,Community Services,1010,Expense,,23528
FY13-14,Community Services,1010,Expense,,22061
FY13-14,Community Services,1010,Expense,,23528
FY13-14,Community Services,1010,Expense,,23528
FY13-14,Community Services,1010,Expense,,34143
FY13-14,Community Services,1010,Expense,,43054
FY13-14,Community Services,1010,Expense,,29667
FY13-14,Community Services,1010,Expense,,27817
FY13-14,Community Services,1010,Expense,,29667
FY13-14,Community Services,1010,Expense,,29667
FY13-14,Community Services,1010,Expense,,3851
FY13-14,Community Services,1010,Expense,,58903
FY13-14,Community Services,1010,Expense,,38565
FY13-14,Community Services,1010,Expense,,40589
FY13-14,Community Services,1010,Expense,,40589
FY13-14,Community Services,1010,Expense,,40589
FY13-14,Community Services,1010,Expense,,1863
FY13-14,Community Services,1010,Expense,,565
FY13-14,Community Services,1010,Expense,,3230
FY13-14,Community Services,1010,Expense,,9210
FY13-14,Community Services,1010,Expense,,12700
FY13-14,Community Services,1010,Expense,,12790
FY13-14,Community Services,1010,Expense,,12480
FY13-14,Community Services,1010,Expense,,3960
FY13-14,Community Services,1010,Expense,,3740
FY13-14,Community Services,1010,Expense,,4220
FY13-14,Community Services,1010,Expense,,4160
FY13-14,Community Services,1010,Expense,,4120
FY13-14,Community Services,1010,Expense,,3000
FY13-14,Community Services,1010,Expense,,2500
FY13-14,Community Services,1010,Expense,,3000
FY13-14,Community Services,1010,Expense,,590
FY13-14,Community Services,1010,Expense,,3000
FY13-14,Community Services,1010,Expense,,410
FY13-14,Community Services,1010,Expense,,410
FY13-14,Community Services,1010,Expense,,410
FY13-14,Community Services,1010,Expense,,410
FY13-14,Community Services,1010,Expense,,440
FY13-14,Community Services,1010,Expense,,1710
FY13-14,Community Services,1010,Expense,,1710
FY13-14,Community Services,1010,Expense,,1710
FY13-14,Community Services,1010,Expense,,1710
FY13-14,Community Services,1010,Expense,,100000
FY13-14,Community Services,1010,Expense,,590
FY13-14,Community Services,1010,Expense,,3140
FY13-14,Community Services,1010,Expense,,3150
FY13-14,Community Services,1010,Expense,,3150
FY13-14,Community Services,1010,Expense,,3140
FY13-14,Community Services,1010,Expense,,41420
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,6780
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,8700
FY13-14,Community Services,1010,Expense,,174979
FY13-14,Community Services,1010,Expense,,31130
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,12480
FY13-14,Community Services,1010,Expense,,2230
FY13-14,Community Services,1010,Expense,,2230
FY13-14,Community Services,1010,Expense,,2230
FY13-14,Community Services,1010,Expense,,339
FY13-14,Community Services,1010,Expense,,7000
FY13-14,Community Services,1010,Expense,,79536
FY13-14,Community Services,1010,Expense,,720
FY13-14,Community Services,1010,Expense,,720
FY13-14,Community Services,1010,Expense,,450
FY13-14,Community Services,1010,Expense,,36720
FY13-14,Community Services,1010,Expense,,720
FY13-14,Community Services,1010,Expense,,2481
FY13-14,Community Services,1010,Expense,,550
FY13-14,Community Services,1010,Expense,,550
FY13-14,Community Services,1010,Expense,,550
FY13-14,Community Services,1010,Expense,,550
FY13-14,Community Services,1010,Expense,,620
FY13-14,Community Services,1010,Expense,,620
FY13-14,Community Services,1010,Expense,,620
FY13-14,Community Services,1010,Expense,,620
FY13-14,Community Services,1010,Expense,,130
FY13-14,Community Services,1010,Expense,,130
FY13-14,Community Services,1010,Expense,,130
FY13-14,Community Services,1010,Expense,,130
FY13-14,Community Services,1010,Expense,,667241
FY13-14,Community Services,1010,Expense,,3350
FY13-14,Community Services,1010,Expense,,3350
FY13-14,Community Services,1010,Expense,,3350
FY13-14,Community Services,1010,Expense,,2000
FY13-14,Community Services,1010,Expense,,1350
FY13-14,Community Services,1010,Expense,,36528
FY13-14,Community Services,1010,Expense,,64082
FY13-14,Community Services,1010,Expense,,16961
FY13-14,Community Services,1010,Expense,,4090
FY13-14,Community Services,1010,Expense,,10093
FY13-14,Community Services,1010,Expense,,17708
FY13-14,Community Services,1010,Expense,,4686
FY13-14,Community Services,1010,Expense,,12727
FY13-14,Community Services,1010,Expense,,5910
FY13-14,Community Services,1010,Expense,,22329
FY13-14,Community Services,1010,Expense,,17413
FY13-14,Community Services,1010,Expense,,8085
FY13-14,Community Services,1010,Expense,,30549
FY13-14,Community Services,1010,Expense,,1035
FY13-14,Community Services,1010,Expense,,2330
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,2400
FY13-14,Community Services,1010,Expense,,1600
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,500
FY13-14,Community Services,1010,Expense,,2870
FY13-14,Community Services,1010,Expense,,1440
FY13-14,Community Services,1010,Expense,,19440
FY13-14,Community Services,2114,Expense,,24351
FY13-14,Community Services,2114,Expense,,38292
FY13-14,Community Services,2114,Expense,,763776
FY13-14,Community Services,2114,Expense,,6729
FY13-14,Community Services,2114,Expense,,6443
FY13-14,Community Services,2114,Expense,,8485
FY13-14,Community Services,2114,Expense,,8124
FY13-14,Community Services,2114,Expense,,11609
FY13-14,Community Services,2114,Expense,,54491
FY13-14,Community Services,2114,Expense,,48283
FY13-14,Community Services,2114,Expense,,1000
FY13-14,Community Services,2114,Expense,,900
FY13-14,Community Services,2114,Expense,,3000
FY13-14,Community Services,2114,Expense,,610
FY13-14,Community Services,2114,Expense,,1202
FY13-14,Community Services,2114,Expense,,2140
FY13-14,Community Services,2114,Expense,,1500
FY13-14,Community Services,2114,Expense,,1000
FY13-14,Community Services,2114,Expense,,11600
FY13-14,Community Services,2114,Expense,,277481
FY13-14,Community Services,2195,Expense,,3205
FY13-14,Community Services,2195,Expense,,37410
FY13-14,Community Services,2195,Expense,,885
FY13-14,Community Services,2195,Expense,,10338
FY13-14,Community Services,2195,Expense,,1116
FY13-14,Community Services,2195,Expense,,13035
FY13-14,Community Services,2195,Expense,,1527
FY13-14,Community Services,2195,Expense,,17834
FY13-14,Community Services,2195,Expense,,4828
FY13-14,Community Services,2195,Expense,,600
FY13-14,Community Services,2195,Expense,,700
FY13-14,Community Services,2195,Expense,,700
FY13-14,Community Services,2195,Expense,,1500
FY13-14,Community Services,2195,Expense,,200
FY13-14,Community Services,2195,Expense,,4500
FY13-14,Community Services,2195,Expense,,200
FY13-14,Community Services,2195,Expense,,1000
FY13-14,Community Services,2195,Expense,,1200
FY13-14,Community Services,2195,Expense,,1500
FY13-14,Community Services,2195,Expense,,157
FY13-14,Community Services,2195,Expense,,1500
FY13-14,Community Services,2195,Expense,,4500
FY13-14,Community Services,2195,Expense,,6174
FY13-14,Community Services,2195,Expense,,16387
FY13-14,Community Services,1010,Expense,,4259
FY13-14,Community Services,1010,Expense,,241524
FY13-14,Community Services,1010,Expense,,14723
FY13-14,Community Services,1010,Expense,,41369
FY13-14,Community Services,1010,Expense,,825
