"Account.Description","LOBName","ProgramName","OperatingUnitDescription","FundDescription","Total"
"MILEAGE REIMBURSEMENT","Traffic","TRAFFIC ENGINEERING","GENERAL OPERATIONS-UASN","GENERAL FUND",1600
"MILEAGE REIMBURSEMENT","UTILITIES ENGINEERING LOB","UTILITIES DESIGN","WASTEWATER CITY OPERATIONS","WATER UTILITIES",700
"MILEAGE REIMBURSEMENT","UTILITIES ENGINEERING LOB","UTILITIES DESIGN","WATER CITY OPERATIONS","WATER UTILITIES",700
"MILEAGE REIMBURSEMENT","UTILITIES WATER QUALITY LOB","UTILITIES DRAPER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",500
"MILEAGE REIMBURSEMENT NP","Council Support","CITY COUNCIL","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"MILEAGE REIMBURSEMENT NP","Labor Relations/Training","HR LABOR RELATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",1300
"MILEAGE REIMBURSEMENT NP","Police Chiefs Office","POLICE EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",9000
"MISCELLANEOUS SRVCS CONTRACTS","Administration","BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",29539
"MISCELLANEOUS SRVCS CONTRACTS","Airport Maintenance","AIRPORTS BUILDING MAINTENANCE","AIRPORTS CITY OPERATIONS","AIRPORTS",500
"MISCELLANEOUS SRVCS CONTRACTS","Airport Maintenance","AIRPORTS GROUNDS MAINTENANCE","AIRPORTS CITY OPERATIONS","AIRPORTS",400
"MISCELLANEOUS SRVCS CONTRACTS","Animal Welfare","ANIMAL SHELTER","GENERAL OPERATIONS-UASN","GENERAL FUND",31200
"MISCELLANEOUS SRVCS CONTRACTS","CIP-City Manager","CIP-CITY MANAGER","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",2808
"MISCELLANEOUS SRVCS CONTRACTS","CIP-Information Technology","CIP-INFORMATION TECHNOLOGY","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",101706
"MISCELLANEOUS SRVCS CONTRACTS","CIP-Non-Departmental","CIP-NONDEPARTMENTAL","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",2175
"MISCELLANEOUS SRVCS CONTRACTS","City Manager MAPS Office","OCMAPS SCHOOL CONSTRUCTION","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",24513
"MISCELLANEOUS SRVCS CONTRACTS","Code Enforcement","VACANT AND ABANDONED BUILDINGS","GENERAL OPERATIONS-UASN","GENERAL FUND",1620
"MISCELLANEOUS SRVCS CONTRACTS","Court Services","COURT CASE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",75029
"MISCELLANEOUS SRVCS CONTRACTS","Drainage Administration","ENVIRONMENTAL","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",5000
"MISCELLANEOUS SRVCS CONTRACTS","Drainage Administration","HOUSEHOLD HAZARDOUS WASTE","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",175000
"MISCELLANEOUS SRVCS CONTRACTS","Drainage Administration","STRMWTR CONSTR/INDUSTR PERMIT","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",86350
"MISCELLANEOUS SRVCS CONTRACTS","Engineering","PROJECT MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",1348
"MISCELLANEOUS SRVCS CONTRACTS","Engineering","SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",1350
"MISCELLANEOUS SRVCS CONTRACTS","Field Services","CONSTR INSPECTION/QUALITY CTRL","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"MISCELLANEOUS SRVCS CONTRACTS","Field Services","SURVEY","GENERAL OPERATIONS-UASN","GENERAL FUND",1600
"MISCELLANEOUS SRVCS CONTRACTS","Fire Administration","FIRE BUSINESS SERVICES","FIRE SALES TAX-RSTR","FIRE",20000
"MISCELLANEOUS SRVCS CONTRACTS","Fire Operations","EMERGENCY MEDICAL SERVICES","FIRE SALES TAX-RSTR","FIRE",161000
"MISCELLANEOUS SRVCS CONTRACTS","General Services Fleet Svcs","GEN SVCS FLEET SVCS SUPPORT","FLEET SERVICES","FLEET SERVICES",126144
"MISCELLANEOUS SRVCS CONTRACTS","GO Bond Street Resurfacing","STREET APPURTENANCE","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",8610
"MISCELLANEOUS SRVCS CONTRACTS","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",225584
"MISCELLANEOUS SRVCS CONTRACTS","Official City Records","CLERK RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",8001
"MISCELLANEOUS SRVCS CONTRACTS","Parks Administration","PARKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",8500
"MISCELLANEOUS SRVCS CONTRACTS","Parks Grounds Management","EQUIPMENT REPAIR","GENERAL OPERATIONS-UASN","GENERAL FUND",15110
"MISCELLANEOUS SRVCS CONTRACTS","Parks Grounds Management","FORESTRY","GENERAL OPERATIONS-UASN","GENERAL FUND",3400
"MISCELLANEOUS SRVCS CONTRACTS","Parks Grounds Management","HAZARD ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",1600
"MISCELLANEOUS SRVCS CONTRACTS","Parks Grounds Management","PARKS AND GROUNDS MAINTENANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",51080
"MISCELLANEOUS SRVCS CONTRACTS","Parks Horticulture & Gardens","CANAL/FIELD HORTICULTURE","GENERAL OPERATIONS-UASN","GENERAL FUND",25000
"MISCELLANEOUS SRVCS CONTRACTS","Parks Horticulture & Gardens","WILL ROGERS GARDENS","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"MISCELLANEOUS SRVCS CONTRACTS","Parks Recreation","ATHLETICS","GENERAL OPERATIONS-UASN","GENERAL FUND",36881
"MISCELLANEOUS SRVCS CONTRACTS","Parks Recreation","GENERAL RECREATION","GENERAL OPERATIONS-UASN","GENERAL FUND",34896
"MISCELLANEOUS SRVCS CONTRACTS","Parks Recreation","SENIORS","GENERAL OPERATIONS-UASN","GENERAL FUND",493
"MISCELLANEOUS SRVCS CONTRACTS","Parks Special Purpose","PARKS SPECIAL PURPOSE","FRANK HATHAWAY ACCOUNT-RSTR","SPECIAL PURPOSE",888
"MISCELLANEOUS SRVCS CONTRACTS","Pol/Fire Capital - Non-Dept","POL/FIRE CAPITAL - NON-DEPT","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",6100
"MISCELLANEOUS SRVCS CONTRACTS","Pol/Fire Capital - Police","POL/FIRE CAPITAL - POLICE","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",1
"MISCELLANEOUS SRVCS CONTRACTS","Police Operational","POLICE YOUTH SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",457000
"MISCELLANEOUS SRVCS CONTRACTS","Police Public Safety Support","POLICE RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",8448
"MISCELLANEOUS SRVCS CONTRACTS","Police Public Safety Support","POLICE TRAINING","ENFRCMT & TRN-POLICE-RSTR","COURT ADMIN & TRAINING",3000
"MISCELLANEOUS SRVCS CONTRACTS","Policy & Executive Leadership","CM Office of Sustainability","GENERAL OPERATIONS-UASN","GENERAL FUND",96500
"MISCELLANEOUS SRVCS CONTRACTS","Procurement Services","PURCHASING","GENERAL OPERATIONS-UASN","GENERAL FUND",75
"MISCELLANEOUS SRVCS CONTRACTS","Public Works Administration","PUB WORKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",20713
"MISCELLANEOUS SRVCS CONTRACTS","Risk Management","WORKERS COMP AND SAFETY","RISK MANAGEMENT","RISK MANAGEMENT",8388
"MISCELLANEOUS SRVCS CONTRACTS","Street & Drainage Maint","STREETS","GENERAL OPERATIONS-UASN","GENERAL FUND",19600
"MISCELLANEOUS SRVCS CONTRACTS","Support Services","FIRE MAINTENANCE SERVICES","FIRE SALES TAX-RSTR","FIRE",20000
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WASTEWATER CITY OPERATIONS","WATER UTILITIES",1000
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WATER CITY OPERATIONS","WATER UTILITIES",20000
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES CUST SERVICE LOB","UTILIITIES CUST SERV BILLING","WASTEWATER CITY OPERATIONS","WATER UTILITIES",415
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES CUST SERVICE LOB","UTILIITIES CUST SERV BILLING","WATER CITY OPERATIONS","WATER UTILITIES",650
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES LINE MAINT LOB","UTILIITIES WW LINE MAINT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",608600
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES LINE MAINT LOB","UTILITIES LM FLEET OPERATIONS","WASTEWATER CITY OPERATIONS","WATER UTILITIES",31220
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES LINE MAINT LOB","UTILITIES LM FLEET OPERATIONS","WATER CITY OPERATIONS","WATER UTILITIES",18700
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES LINE MAINT LOB","UTILITIES WATER LINE MAINT","WATER CITY OPERATIONS","WATER UTILITIES",50625
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",48000
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES WASTEWATER QUAL LOB","UTILITIES IND WASTE PRETREAT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",850
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES WASTEWATER QUAL LOB","UTILITIES LIFT STATION","WASTEWATER CITY OPERATIONS","WATER UTILITIES",2550
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES WASTEWATER QUAL LOB","UTILITIES WASTEWATER TREATMENT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",1350
"MISCELLANEOUS SRVCS CONTRACTS","UTILITIES WATER QUALITY LOB","UTILITIES RAW WATER","WATER CITY OPERATIONS","WATER UTILITIES",50500
"MOTOR OIL","General Services Fleet Svcs","GEN SVCS VEHICLE & EQUIP MAINT","FLEET SERVICES","FLEET SERVICES",85400
"MOTOR OIL","Support Services","FIRE MAINTENANCE SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",35000
"MOTOR OIL","UTILITIES LINE MAINT LOB","UTILITIES LM FLEET OPERATIONS","WASTEWATER CITY OPERATIONS","WATER UTILITIES",11200
"MOTOR OIL","UTILITIES LINE MAINT LOB","UTILITIES LM FLEET OPERATIONS","WATER CITY OPERATIONS","WATER UTILITIES",20000
"MUNICIPAL CODE","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",20000
"NATURAL GAS","Airport Commercial Aviation","RUNWAYS & TAXIWAYS COMMERCIAL","AIRPORTS CITY OPERATIONS","AIRPORTS",18000
"NATURAL GAS","Airport Maintenance","AIRPORTS BUILDING MAINTENANCE","AIRPORTS CITY OPERATIONS","AIRPORTS",160000
"NATURAL GAS","Animal Welfare","ANIMAL SHELTER","GENERAL OPERATIONS-UASN","GENERAL FUND",32982
"NATURAL GAS","Drainage Administration","HOUSEHOLD HAZARDOUS WASTE","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",18000
"NATURAL GAS","Field Services","CONSTR INSPECTION/QUALITY CTRL","GENERAL OPERATIONS-UASN","GENERAL FUND",8322
"NATURAL GAS","General Services Admin","GEN SERVICES BUSINESS SERVICES","FLEET SERVICES","FLEET SERVICES",16000
"NATURAL GAS","General Services Bldg Mgmt","GEN SVCS BUILDING REPAIR MAINT","GENERAL OPERATIONS-UASN","GENERAL FUND",35280
"NATURAL GAS","Non-Departmental - Operating","CHESAPEAKE AND COX CENTER","GENERAL OPERATIONS-UASN","GENERAL FUND",854954
"NATURAL GAS","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",65000
"NATURAL GAS","Parks Grounds Management","FORESTRY","GENERAL OPERATIONS-UASN","GENERAL FUND",5122
"NATURAL GAS","Parks Grounds Management","PARKS AND GROUNDS MAINTENANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",14284
"NATURAL GAS","Parks Horticulture & Gardens","CANAL/FIELD HORTICULTURE","GENERAL OPERATIONS-UASN","GENERAL FUND",1000
"NATURAL GAS","Parks Horticulture & Gardens","WILL ROGERS GARDENS","GENERAL OPERATIONS-UASN","GENERAL FUND",10286
"NATURAL GAS","Parks Recreation","AQUATICS","GENERAL OPERATIONS-UASN","GENERAL FUND",16986
"NATURAL GAS","Parks Recreation","ATHLETICS","GENERAL OPERATIONS-UASN","GENERAL FUND",12313
"NATURAL GAS","Parks Recreation","GENERAL RECREATION","GENERAL OPERATIONS-UASN","GENERAL FUND",70539
"NATURAL GAS","Parks Recreation","SENIORS","GENERAL OPERATIONS-UASN","GENERAL FUND",8619
"NATURAL GAS","Police Chiefs Office","POLICE EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"NATURAL GAS","Police Investigations","POLICE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"NATURAL GAS","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"NATURAL GAS","Police Public Safety Support","POLICE RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"NATURAL GAS","Public Safety Support LOB","PUBLIC SAFETY COMMUNICATIONS S","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",25750
"NATURAL GAS","Street & Drainage Maint","DRAINAGE","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",2000
"NATURAL GAS","Street & Drainage Maint","STREETS","GENERAL OPERATIONS-UASN","GENERAL FUND",17706
"NATURAL GAS","Street & Drainage Maint","TRAFFIC OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",16500
"NATURAL GAS","Support Services","FIRE MAINTENANCE SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",215000
"NATURAL GAS","UTILITIES WASTEWATER QUAL LOB","UTILITIES LIFT STATION","WASTEWATER CITY OPERATIONS","WATER UTILITIES",5000
"NATURAL GAS","UTILITIES WATER QUALITY LOB","UTILITIES DRAPER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",36395
"NATURAL GAS","UTILITIES WATER QUALITY LOB","UTILITIES HEFNER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",27500
"NATURAL GAS","UTILITIES WATER QUALITY LOB","UTILITIES OVERHOLSER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",15000
"NATURAL GAS","UTILITIES WATER QUALITY LOB","UTILITIES TRUST PROPERTY MAINT","WATER CITY OPERATIONS","WATER UTILITIES",5500
"NEIGHBORHOOD IMPRV","Community Development","NEIGHBORHOOD REVITALIZATION","GENERAL OPERATIONS-UASN","GENERAL FUND",190000
"NETWORK AND OTHER SUPPLIES","Technology Infrastructure","IT-NETWORK","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",35000
"NON-CAPITAL A&E","CIP-Finance","CIP-FINANCE","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",330
"NON-CAPITAL A&E","CIP-General Services","CIP-GENERAL SERVICES","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",84000
"NON-CAPITAL A&E","DEVELOPMENT SERVICES CIP","DEVELOPMENT SERVICES CIP","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",4805
"NON-CAPITAL A&E","GO Bond Bridge New","BRIDGE REHABILITATION","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",2723
"NON-CAPITAL A&E","GO Bond Drainage New","DRAINAGE APPURTENANCE","DRAINAGE CAPITAL ACCOUNT","STORMWATER DRAINAGE",62021
"NON-CAPITAL A&E","GO Bond Street Resurfacing","STREET APPURTENANCE","STREET & ALLEY CAP-RSTR","STREET & ALLEY",1121
"NON-CAPITAL A&E","GO Bond Street Resurfacing","STREET APPURTENANCE","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",130130
"NON-CAPITAL A&E","GO Bond Street Resurfacing","STREET RESURFACING","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",60000
"NON-CAPITAL A&E","Parks Trust Activity","Park Improvements","PARKS O&G ROYALTIES-ASGN","SPECIAL PURPOSE",5464
"NON-CAPITAL A&E","Police Sales Tax Capital","POLICE SALES TAX CAPITAL","POLICE CAPITAL-RSTR","POLICE",25000
"NON-CAPITAL ADMIN COST","Parks Trust Activity","Park Improvements","PARKS O&G ROYALTIES-ASGN","SPECIAL PURPOSE",3684
"NON-CAPITAL ADMIN COST","Police Sales Tax Capital","POLICE SALES TAX CAPITAL","POLICE CAPITAL-RSTR","POLICE",65000
"NON-CAPITAL CONSTRUCTION","CIP-Finance","CIP-FINANCE","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",113691
"NON-CAPITAL CONSTRUCTION","CIP-General Services","CIP-GENERAL SERVICES","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",160628
"NON-CAPITAL CONSTRUCTION","DEVELOPMENT SERVICES CIP","DEVELOPMENT SERVICES CIP","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",980047
"NON-CAPITAL CONSTRUCTION","GO Bond Drainage New","DRAINAGE IMPROVEMENTS","DRAINAGE CAPITAL ACCOUNT","STORMWATER DRAINAGE",526325
"NON-CAPITAL CONSTRUCTION","GO Bond Street Resurfacing","STREET APPURTENANCE","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",346786
"NON-CAPITAL CONSTRUCTION","GO Bond Street Resurfacing","STREET RESURFACING","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",679190
"NON-CAPITAL CONSTRUCTION","GO Bond Street Resurfacing","STREET RESURFACING","STREET & ALLEY CAP-RSTR","STREET & ALLEY",149291
"NON-CAPITAL CONSTRUCTION","GO Bond Street Resurfacing","STREET RESURFACING","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",10456039
"NON-CAPITAL CONSTRUCTION","Public Works - CIP","CIP-PUBLIC WORKS","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",95548
"NON-CAPITAL CONSTRUCTION","PUBLIC WORKS SPECIAL PURPOSE","TRAFFIC APPURTENANCE","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",225053
"NON-CAPITAL CONSTRUCTION","Street & Drainage Maint","STREETS","STREET & ALLEY CAP-RSTR","STREET & ALLEY",3156
"NON-CAPITAL FURNITURE & FIXTUR","Administration","BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",2400
"NON-CAPITAL FURNITURE & FIXTUR","Airport Administration","AIRPORTS EXEC LEADERSHIP","AIRPORTS CITY OPERATIONS","AIRPORTS",2000
"NON-CAPITAL FURNITURE & FIXTUR","Airport Commercial Aviation","AIRFIELD OPERATIONS COMMERCIAL","AIRPORTS CITY OPERATIONS","AIRPORTS",2000
"NON-CAPITAL FURNITURE & FIXTUR","Airport Maintenance","AIRPORTS BUILDING MAINTENANCE","AIRPORTS CITY OPERATIONS","AIRPORTS",200
"NON-CAPITAL FURNITURE & FIXTUR","Airport Maintenance","AIRPORTS GROUNDS MAINTENANCE","AIRPORTS CITY OPERATIONS","AIRPORTS",500
"NON-CAPITAL FURNITURE & FIXTUR","CIP-City Clerk","CIP-CITY CLERK","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",367
"NON-CAPITAL FURNITURE & FIXTUR","CIP-City Manager","CIP-CITY MANAGER","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",259930
"NON-CAPITAL FURNITURE & FIXTUR","CIP-Finance","CIP-FINANCE","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",720
"NON-CAPITAL FURNITURE & FIXTUR","CIP-Information Technology","CIP-INFORMATION TECHNOLOGY","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",20000
"NON-CAPITAL FURNITURE & FIXTUR","CIP-Mayor & Council","CIP-MAYOR & COUNCIL","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",10500
"NON-CAPITAL FURNITURE & FIXTUR","City Manager MAPS Office","MAPS3","MAPS3 USE TAX-CMTD","MAPS3 USE TAX",19200
"NON-CAPITAL FURNITURE & FIXTUR","City Manager MAPS Office","OCMAPS SCHOOL CONSTRUCTION","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",12800
"NON-CAPITAL FURNITURE & FIXTUR","Code Enforcement","CODE INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",8600
"NON-CAPITAL FURNITURE & FIXTUR","Code Enforcement","NUISANCE ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",2000
"NON-CAPITAL FURNITURE & FIXTUR","Council Support","CITY COUNCIL","GENERAL OPERATIONS-UASN","GENERAL FUND",250
"NON-CAPITAL FURNITURE & FIXTUR","Court Operations","COURT FACILITY OPERATIONS","COURTS ADMIN & TRAN-RSTR","COURT ADMIN & TRAINING",6200
"NON-CAPITAL FURNITURE & FIXTUR","Court Operations","COURT FACILITY OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",43750
"NON-CAPITAL FURNITURE & FIXTUR","Criminal Justice","MUN COUN PROSECUTION","JUV JUSTICE-RSTR","GENERAL FUND",1110
"NON-CAPITAL FURNITURE & FIXTUR","Current Planning","CODE ADMINISTRATION","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"NON-CAPITAL FURNITURE & FIXTUR","Development Center","CONSTRUCTION INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",1609
"NON-CAPITAL FURNITURE & FIXTUR","Development Center","PERMITS","GENERAL OPERATIONS-UASN","GENERAL FUND",1608
"NON-CAPITAL FURNITURE & FIXTUR","Development Center","PLAN REVIEW","GENERAL OPERATIONS-UASN","GENERAL FUND",1609
"NON-CAPITAL FURNITURE & FIXTUR","Drainage Administration","STRMWTR CONSTR/INDUSTR PERMIT","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",3000
"NON-CAPITAL FURNITURE & FIXTUR","Field Services","CONSTR INSPECTION/QUALITY CTRL","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"NON-CAPITAL FURNITURE & FIXTUR","Finanacial Planning and Mgmt","FINANCIAL PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"NON-CAPITAL FURNITURE & FIXTUR","Finance Administration","FINANCE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",45000
"NON-CAPITAL FURNITURE & FIXTUR","Fire City Schools Use Tax","Fire City Schools Use Tax","CITY/SCHOOL USE TAX-ASGN","CITY/SCHOOLS USE TAX",6110
"NON-CAPITAL FURNITURE & FIXTUR","Information Technology Admin","IT BUSINESS SERVICES","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",20000
"NON-CAPITAL FURNITURE & FIXTUR","Municipal Counselor Admin","MUN COUN BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",15420
"NON-CAPITAL FURNITURE & FIXTUR","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"NON-CAPITAL FURNITURE & FIXTUR","Parks Administration","PARKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",525
"NON-CAPITAL FURNITURE & FIXTUR","Parks Administration","PARKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",575
"NON-CAPITAL FURNITURE & FIXTUR","Parks Civic Center","PERFORMANCE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",7399
"NON-CAPITAL FURNITURE & FIXTUR","Parks Grounds Management","FORESTRY","GENERAL OPERATIONS-UASN","GENERAL FUND",420
"NON-CAPITAL FURNITURE & FIXTUR","Parks Grounds Management","PARKS AND GROUNDS MAINTENANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",1225
"NON-CAPITAL FURNITURE & FIXTUR","Parks Horticulture & Gardens","FISHERIES MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",138
"NON-CAPITAL FURNITURE & FIXTUR","Parks Recreation","AQUATICS","GENERAL OPERATIONS-UASN","GENERAL FUND",550
"NON-CAPITAL FURNITURE & FIXTUR","Parks Recreation","ATHLETICS","GENERAL OPERATIONS-UASN","GENERAL FUND",413
"NON-CAPITAL FURNITURE & FIXTUR","Parks Recreation","GENERAL RECREATION","GENERAL OPERATIONS-UASN","GENERAL FUND",26238
"NON-CAPITAL FURNITURE & FIXTUR","Parks Recreation","SENIORS","GENERAL OPERATIONS-UASN","GENERAL FUND",138
"NON-CAPITAL FURNITURE & FIXTUR","Parks Recreation","SPECIAL EVENTS","GENERAL OPERATIONS-UASN","GENERAL FUND",3138
"NON-CAPITAL FURNITURE & FIXTUR","Parks Special Purpose","PARKS SPECIAL PURPOSE","NATURE PARK ACCOUNT-RSTR","SPECIAL PURPOSE",35066
"NON-CAPITAL FURNITURE & FIXTUR","Parks Trust Activity","Park Improvements","BLUFF CREEK PARK IMPROV-RSTR","SPECIAL PURPOSE",172993
"NON-CAPITAL FURNITURE & FIXTUR","Planning Admin","PLANNING EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",3000
"NON-CAPITAL FURNITURE & FIXTUR","Police Chiefs Office","POLICE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",775
"NON-CAPITAL FURNITURE & FIXTUR","Police Chiefs Office","POLICE HUMAN RESOURCES","GENERAL OPERATIONS-UASN","GENERAL FUND",775
"NON-CAPITAL FURNITURE & FIXTUR","Police Chiefs Office","POLICE PROFESSIONAL STANDARDS","GENERAL OPERATIONS-UASN","GENERAL FUND",6652
"NON-CAPITAL FURNITURE & FIXTUR","Police Investigations","POLICE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",6651
"NON-CAPITAL FURNITURE & FIXTUR","Police Operational","POLICE CRIME PREVENT AND AWARE","GENERAL OPERATIONS-UASN","GENERAL FUND",255
"NON-CAPITAL FURNITURE & FIXTUR","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",8625
"NON-CAPITAL FURNITURE & FIXTUR","Police Operational","POLICE TRAFFIC SAFETY","GENERAL OPERATIONS-UASN","GENERAL FUND",1115
"NON-CAPITAL FURNITURE & FIXTUR","Police Operational","POLICE YOUTH SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",255
"NON-CAPITAL FURNITURE & FIXTUR","Police Public Safety Support","POLICE RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"NON-CAPITAL FURNITURE & FIXTUR","Police Sales Tax Capital","POLICE SALES TAX CAPITAL","POLICE CAPITAL-RSTR","POLICE",1750000
