Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Natural Gas,76513,,Administration,1000 - Administration,1010,9210
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Steam,13117,,Administration,1000 - Administration,1010,9220
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Maintenance Service,344310,,Administration,1000 - Administration,1010,9340
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,670655,,Administration,1000 - Administration,1010,9410
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,52294,,Administration,1000 - Administration,1010,9440
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,311 Call Center Services,14040,,Administration,1000 - Administration,1010,9450
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Computer Services-from IT,517008,,Administration,1000 - Administration,1010,9480
FY19,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Building Additions,73917,,Administration,1000 - Administration,1010,9755
FY19,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,340482,,Administration,1000 - Administration,1010,9760
FY19,Expense,Fire,Fire,General Fund Operating,Other Financing,Operating Trans-Misc,80000,,Administration,1000 - Administration,1010,9955
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,12716957,,Fire Suppression,2000 - Fire Suppression,1010,7020
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,307743,,Fire Suppression,2000 - Fire Suppression,1010,7025
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Regular Hourly Rate,481595,,Fire Suppression,2000 - Fire Suppression,1010,7050
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,705575,,Fire Suppression,2000 - Fire Suppression,1010,7055
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,196533,,Fire Suppression,2000 - Fire Suppression,1010,7105
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,2476800,,Fire Suppression,2000 - Fire Suppression,1010,7110
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,2708114,,Fire Suppression,2000 - Fire Suppression,1010,7115
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,3482590,,Fire Suppression,2000 - Fire Suppression,1010,7120
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,19642,,Fire Suppression,2000 - Fire Suppression,1010,7135
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Fire Tech Services Stipend,58750,,Fire Suppression,2000 - Fire Suppression,1010,7180
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Transfer-Station Pay,12000,,Fire Suppression,2000 - Fire Suppression,1010,7185
FY19,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,181070,,Fire Suppression,2000 - Fire Suppression,1010,7520
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,2500,,Fire Suppression,2000 - Fire Suppression,1010,8010
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,68240,,Fire Suppression,2000 - Fire Suppression,1010,9110
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,540,,Fire Suppression,2000 - Fire Suppression,1010,9150
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Electricity,30059,,Fire Suppression,2000 - Fire Suppression,1010,9200
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,115790,,Fire Suppression,2000 - Fire Suppression,1010,9410
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,41139,,Fire Suppression,2000 - Fire Suppression,1010,9440
FY19,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,167256,,Fire Suppression,2000 - Fire Suppression,1010,9760
FY19,Expense,Fire,Fire,General Fund Operating,Debt Service,Principal,50000,,Fire Suppression,2000 - Fire Suppression,1010,9910
FY19,Expense,Fire,Fire,General Fund Operating,Debt Service,Paying Agent Fees,2472,,Fire Suppression,2000 - Fire Suppression,1010,9930
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,335232,,Fire Training,3000 - Fire Training,1010,7020
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,10150,,Fire Training,3000 - Fire Training,1010,7025
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,13000,,Fire Training,3000 - Fire Training,1010,7055
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,5236,,Fire Training,3000 - Fire Training,1010,7105
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,57600,,Fire Training,3000 - Fire Training,1010,7110
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,68540,,Fire Training,3000 - Fire Training,1010,7115
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,88317,,Fire Training,3000 - Fire Training,1010,7120
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,504,,Fire Training,3000 - Fire Training,1010,7135
FY19,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,3200,,Fire Training,3000 - Fire Training,1010,7520
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,3900,,Fire Training,3000 - Fire Training,1010,9110
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,1380,,Fire Training,3000 - Fire Training,1010,9150
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,11101,,Fire Training,3000 - Fire Training,1010,9440
FY19,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,1500,,Fire Training,3000 - Fire Training,1010,9760
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,105000,,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,7055
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,1523,,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,7105
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,19929,,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,7115
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,24896,,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,7120
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,147,,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,7135
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,85212,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7020
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,5075,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7025
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,54840,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7055
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,2112,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7105
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,14400,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7110
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,27643,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7115
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,35216,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7120
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,205,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7135
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Fire Tech Services Stipend,500,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7180
FY19,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,30000,,Emergency Medical Services,4000 - Emergency Medical Services,1010,7520
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,14000,,Emergency Medical Services,4000 - Emergency Medical Services,1010,8010
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,8480,,Emergency Medical Services,4000 - Emergency Medical Services,1010,9110
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,425,,Emergency Medical Services,4000 - Emergency Medical Services,1010,9150
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,27295,,Emergency Medical Services,4000 - Emergency Medical Services,1010,9440
FY19,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,10000,,Emergency Medical Services,4000 - Emergency Medical Services,1010,9760
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,545472,,Fire Prevention,5000 - Fire Prevention,1010,7020
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,3000,,Fire Prevention,5000 - Fire Prevention,1010,7025
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,33950,,Fire Prevention,5000 - Fire Prevention,1010,7055
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,12512,,Fire Prevention,5000 - Fire Prevention,1010,7105
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,97920,,Fire Prevention,5000 - Fire Prevention,1010,7110
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,106193,,Fire Prevention,5000 - Fire Prevention,1010,7115
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,141277,,Fire Prevention,5000 - Fire Prevention,1010,7120
FY19,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,808,,Fire Prevention,5000 - Fire Prevention,1010,7135
FY19,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,33370,,Fire Prevention,5000 - Fire Prevention,1010,7520
FY19,Expense,Fire,Fire,General Fund Operating,Supplies,Subscriptions and Publications,3388,,Fire Prevention,5000 - Fire Prevention,1010,7910
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,56000,,Fire Prevention,5000 - Fire Prevention,1010,8010
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Postage,10800,,Fire Prevention,5000 - Fire Prevention,1010,8510
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,11681,,Fire Prevention,5000 - Fire Prevention,1010,9110
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,1240,,Fire Prevention,5000 - Fire Prevention,1010,9150
FY19,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,24521,,Fire Prevention,5000 - Fire Prevention,1010,9440
FY19,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,70150,,Fire Prevention,5000 - Fire Prevention,1010,9760
FY19,Expense,Fire,Fire,General Fund Operating,Other Financing,Operating Trans-Dev Center,6483,,Fire Prevention,5000 - Fire Prevention,1010,9954
FY19,Expense,Fire,Fire,Capital Improvement,Capital Outlays,Land,585000,,Capital Projects,9000 - Capital Projects,4010,9710
FY19,Expense,Fire,Fire,Capital Improvement,Capital Outlays,Equipment,55000,,Capital Projects,9000 - Capital Projects,4010,9760
FY19,Expense,Fire,Fire,Capital Improvement,Capital Outlays,Software,150000,,Capital Projects,9000 - Capital Projects,4010,9840
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Personnel Services,Full Time Employees,1103364,,Administration,1000 - Administration,1010,7020
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Personnel Services,Employers FICA,84397,,Administration,1000 - Administration,1010,7105
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Personnel Services,Hospitalization Insurance,218160,,Administration,1000 - Administration,1010,7110
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,136388,,Administration,1000 - Administration,1010,7115
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Personnel Services,Retirement Fund Contribution,250787,,Administration,1000 - Administration,1010,7120
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Personnel Services,Unemployment Compensation,1509,,Administration,1000 - Administration,1010,7135
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Supplies,Supplies,18000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Supplies,Subscriptions and Publications,1194,,Administration,1000 - Administration,1010,7910
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Contractual Services,108310,,Administration,1000 - Administration,1010,8010
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Fees,2300,,Administration,1000 - Administration,1010,8240
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Claims,18582,,Administration,1000 - Administration,1010,8450
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Telephone,5035,,Administration,1000 - Administration,1010,8500
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Postage,42016,,Administration,1000 - Administration,1010,8510
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Printing & Publishing,11425,,Administration,1000 - Administration,1010,9000
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Professional Development,3743,,Administration,1000 - Administration,1010,9100
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Other Travel & Training,8475,,Administration,1000 - Administration,1010,9110
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Local Business Expense,250,,Administration,1000 - Administration,1010,9130
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Memberships,7118,,Administration,1000 - Administration,1010,9150
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,28844,,Administration,1000 - Administration,1010,9410
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,104862,,Administration,1000 - Administration,1010,9430
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,311 Call Center Services,49400,,Administration,1000 - Administration,1010,9450
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Employee Parking,16065,,Administration,1000 - Administration,1010,9470
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Other Services and Charges,Computer Services-from IT,71102,,Administration,1000 - Administration,1010,9480
FY19,Expense,Fiscal Services,Assessor,General Fund Operating,Capital Outlays,Computer Equipment,10400,,Administration,1000 - Administration,1010,9805
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Full Time Employees,406276,,Administration,1000 - Administration,1010,7020
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Employers FICA,31076,,Administration,1000 - Administration,1010,7105
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Hospitalization Insurance,65232,,Administration,1000 - Administration,1010,7110
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,50384,,Administration,1000 - Administration,1010,7115
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Retirement Fund Contribution,92641,,Administration,1000 - Administration,1010,7120
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Unemployment Compensation,566,,Administration,1000 - Administration,1010,7135
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Supplies,Supplies,15000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Supplies,Subscriptions and Publications,500,,Administration,1000 - Administration,1010,7910
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Contractual Services,160000,,Administration,1000 - Administration,1010,8010
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,10000,,Administration,1000 - Administration,1010,8011
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Claims,15520,,Administration,1000 - Administration,1010,8450
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,42,,Administration,1000 - Administration,1010,8505
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Postage,150,,Administration,1000 - Administration,1010,8510
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Transportation-Mileage Reimbursement,50,,Administration,1000 - Administration,1010,8610
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Printing & Publishing,300,,Administration,1000 - Administration,1010,9000
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Professional Development,5500,,Administration,1000 - Administration,1010,9100
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Other Travel & Training,6000,,Administration,1000 - Administration,1010,9110
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Memberships,3500,,Administration,1000 - Administration,1010,9150
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,1557,,Administration,1000 - Administration,1010,9410
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,20121,,Administration,1000 - Administration,1010,9430
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,311 Call Center Services,173,,Administration,1000 - Administration,1010,9450
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Employee Parking,10520,,Administration,1000 - Administration,1010,9470
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Computer Services-from IT,30125,,Administration,1000 - Administration,1010,9480
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Capital Outlays,Computer Equipment,5253,,Administration,1000 - Administration,1010,9805
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Full Time Employees,158835,,Budget Office,3000 - Budget Office,1010,7020
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Employers FICA,12166,,Budget Office,3000 - Budget Office,1010,7105
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Hospitalization Insurance,23760,,Budget Office,3000 - Budget Office,1010,7110
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,19687,,Budget Office,3000 - Budget Office,1010,7115
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Retirement Fund Contribution,36228,,Budget Office,3000 - Budget Office,1010,7120
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Personnel Services,Unemployment Compensation,216,,Budget Office,3000 - Budget Office,1010,7135
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,63,,Budget Office,3000 - Budget Office,1010,8505
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Printing & Publishing,21218,,Budget Office,3000 - Budget Office,1010,9000
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Professional Development,4000,,Budget Office,3000 - Budget Office,1010,9100
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Memberships,780,,Budget Office,3000 - Budget Office,1010,9150
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,1565,,Budget Office,3000 - Budget Office,1010,9410
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,16852,,Budget Office,3000 - Budget Office,1010,9430
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Employee Parking,4008,,Budget Office,3000 - Budget Office,1010,9470
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Other Services and Charges,Computer Services-from IT,316707,,Budget Office,3000 - Budget Office,1010,9480
FY19,Expense,Fiscal Services,Fiscal Services,General Fund Operating,Capital Outlays,Computer Equipment,1043,,Budget Office,3000 - Budget Office,1010,9805
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Personnel Services,Retirement Fund Contribution,502200,,Other Organization Support,1020 - Other Organization Support,1010,7120
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Supplies,Supplies,10000,,Other Organization Support,1020 - Other Organization Support,1010,7520
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Contractual Services,2168781,,Other Organization Support,1020 - Other Organization Support,1010,8010
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Printing & Publishing,858,,Other Organization Support,1020 - Other Organization Support,1010,9000
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Memberships,62777,,Other Organization Support,1020 - Other Organization Support,1010,9150
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,9919,,Other Organization Support,1020 - Other Organization Support,1010,9430
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Engineering Services,135699,,Other Organization Support,1020 - Other Organization Support,1010,9460
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Financing,Operating Trans-Misc,693611,,Other Organization Support,1020 - Other Organization Support,1010,9955
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Financing,Operating Trans Out-Subsidies,16917356,,Subsidies,3000 - Subsidies,1010,9951
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Financing,Operating Trans-Misc,850000,,Subsidies,3000 - Subsidies,1010,9955
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Financing,Operating Trans Out-Subsidies,1500000,,Contingent Appropriation,4000 - Contingent Appropriation,1010,9951
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Contractual Services,50000,,Promotional & Advertising,6000 - Promotional & Advertising,1010,8010
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Contractual Services,510965,,Lease Agreement,8000 - Lease Agreement,1010,8010
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Services and Charges,Property Taxes,5000,,Lease Agreement,8000 - Lease Agreement,1010,9630
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Debt Service,Paying Agent Fees,4400,,Lease Agreement,8000 - Lease Agreement,1010,9930
FY19,Expense,Fiscal Services,General Administration,General Fund Operating,Other Financing,Operating Trans Out-Subsidies,2820092,,Lease Agreement,8000 - Lease Agreement,1010,9951
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Full Time Employees,967327,,Administration,1000 - Administration,1010,7020
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Acting Assignment,15964,,Administration,1000 - Administration,1010,7025
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Temporary Noncontract Employees,44000,,Administration,1000 - Administration,1010,7040
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Time & One-half,13000,,Administration,1000 - Administration,1010,7055
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Employers FICA,79577,,Administration,1000 - Administration,1010,7105
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Hospitalization Insurance,232560,,Administration,1000 - Administration,1010,7110
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,119553,,Administration,1000 - Administration,1010,7115
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Retirement Fund Contribution,219883,,Administration,1000 - Administration,1010,7120
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Personnel Services,Unemployment Compensation,2988,,Administration,1000 - Administration,1010,7135
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Supplies,Supplies,32000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Supplies,Subscriptions and Publications,4150,,Administration,1000 - Administration,1010,7910
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Contractual Services,251000,,Administration,1000 - Administration,1010,8010
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,137000,,Administration,1000 - Administration,1010,8011
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Fees,56000,,Administration,1000 - Administration,1010,8240
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Claims,19006,,Administration,1000 - Administration,1010,8450
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Telephone,600,,Administration,1000 - Administration,1010,8500
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,600,,Administration,1000 - Administration,1010,8505
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Postage,70000,,Administration,1000 - Administration,1010,8510
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,"Internet Services, Etc.",2500,,Administration,1000 - Administration,1010,8520
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Printing & Publishing,20000,,Administration,1000 - Administration,1010,9000
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Professional Development,9000,,Administration,1000 - Administration,1010,9100
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Other Travel & Training,1000,,Administration,1000 - Administration,1010,9110
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Local Business Expense,500,,Administration,1000 - Administration,1010,9130
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Memberships,1550,,Administration,1000 - Administration,1010,9150
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Maintenance Service,750,,Administration,1000 - Administration,1010,9340
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,2563,,Administration,1000 - Administration,1010,9410
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,78647,,Administration,1000 - Administration,1010,9430
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,311 Call Center Services,1733,,Administration,1000 - Administration,1010,9450
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Employee Parking,32324,,Administration,1000 - Administration,1010,9470
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Other Services and Charges,Computer Services-from IT,40567,,Administration,1000 - Administration,1010,9480
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Capital Outlays,Furniture,50000,,Administration,1000 - Administration,1010,9800
FY19,Expense,Fiscal Services,Income Tax,General Fund Operating,Capital Outlays,Computer Equipment,10000,,Administration,1000 - Administration,1010,9805
FY19,Expense,Fiscal Services,Income Tax,Transformation Fund,Other Financing,Operating Trans Out-Subsidies,1322437,,Supplemental,1020 - Supplemental,2300,9951
