FiscalYear,AccountType,FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,51010001,SALARIES AND WAGES,86579
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,51070001,HEALTH AND WELFARE INSURANCE,25505
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,51070004,RETIREMENT PENSION CONTRIB,5227
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,52070004,"WATER, SEWER & REFUSE",3495
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,52340016,MACHINERY AND EQUIPMENT MTCE,27487
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,52340034,OTHER REPAIRS AND MAINTENANCE,6000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,52890001,OTHER SERVICES AND CHARGES,78760
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,53010013,NON-CAPITAL OFFICE MACHINES,61279
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,53010016,NON-CAPITAL FURNITURE & FIXTUR,43750
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,53040001,JANITOR SUPPLIES,12270
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,53040013,REPAIR & MAINTENANCE PARTS,7500
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,53040025,SMALL TOOLS & MINOR EQUIP,6000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000402,COURT FACILITY OPERATIONS,10004,Court Operations,53890004,CLOTHING & OTHER,5190
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,51000004,BUDGET-VACANCY DISCOUNT,-29625
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,51010001,SALARIES AND WAGES,1397004
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,51070001,HEALTH AND WELFARE INSURANCE,329243
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,51070004,RETIREMENT PENSION CONTRIB,84354
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,52010028,MISCELLANEOUS SRVCS CONTRACTS,75029
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,52040046,PROFESSIONAL SERVICES-OTHER,577441
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,52250001,ADVERTISING,607
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,52280013,CHARGEBACK-PRINT SHOP,34037
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,52310001,PRINTING & BINDING,30000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,52890001,OTHER SERVICES AND CHARGES,60250
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,53010001,OFFICE SUPPLIES,23824
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,53010007,COMPUTER SUPPLIES,20000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000602,COURT CASE SUPPORT,10006,Court Services,53890022,OTHER SUPPLIES,25750
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,51000004,BUDGET-VACANCY DISCOUNT,-12702
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,51010001,SALARIES AND WAGES,598985
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,51010007,OVERTIME WAGES,3000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,51070001,HEALTH AND WELFARE INSURANCE,121147
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,51070004,RETIREMENT PENSION CONTRIB,36169
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,52280019,CHARGEBACK-VEHICLE MAINTENANCE,20813
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,52280022,CHARGEBACK FUEL,23753
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,52340013,NONTARGET REPAIR LABOR,3986
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,52890001,OTHER SERVICES AND CHARGES,6500
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,53010001,OFFICE SUPPLIES,2000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,53890004,CLOTHING & OTHER,5000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000603,COURTS ENFORCEMENT & INVESTIGA,10006,Court Services,53890022,OTHER SUPPLIES,1000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,51000004,BUDGET-VACANCY DISCOUNT,-14627
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,51010001,SALARIES AND WAGES,689743
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,51010004,PART TIME & TEMPORARY WAGES,29316
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,51010007,OVERTIME WAGES,13000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,51070001,HEALTH AND WELFARE INSURANCE,180848
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,51070004,RETIREMENT PENSION CONTRIB,41650
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,52310004,POSTAGE,7000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,53010001,OFFICE SUPPLIES,5000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1000605,COURTS FINANCIAL PROCESSING,10006,Court Services,53890022,OTHER SUPPLIES,1000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,51000004,BUDGET-VACANCY DISCOUNT,-2497
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,51010001,SALARIES AND WAGES,115936
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,51070001,HEALTH AND WELFARE INSURANCE,9275
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,51070004,RETIREMENT PENSION CONTRIB,8967
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,51130004,CAR ALLOWANCE,4200
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,51510004,EMPLOYEE PARKING,1032
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600101,HR EXECUTIVE LEADERSHIP,16001,Personnel Administration,52280013,CHARGEBACK-PRINT SHOP,33532
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600201,HR EMPLOYMENT,16002,Personnel Operations Division,51000004,BUDGET-VACANCY DISCOUNT,-7349
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600201,HR EMPLOYMENT,16002,Personnel Operations Division,51010001,SALARIES AND WAGES,346505
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600201,HR EMPLOYMENT,16002,Personnel Operations Division,51070001,HEALTH AND WELFARE INSURANCE,64342
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600201,HR EMPLOYMENT,16002,Personnel Operations Division,51070004,RETIREMENT PENSION CONTRIB,20922
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600201,HR EMPLOYMENT,16002,Personnel Operations Division,51510004,EMPLOYEE PARKING,3248
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600201,HR EMPLOYMENT,16002,Personnel Operations Division,52010019,OSBI RECORD CHECKS,27520
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600202,HR CLASS AND COMPENSATION,16002,Personnel Operations Division,51000004,BUDGET-VACANCY DISCOUNT,-4037
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600202,HR CLASS AND COMPENSATION,16002,Personnel Operations Division,51010001,SALARIES AND WAGES,190311
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600202,HR CLASS AND COMPENSATION,16002,Personnel Operations Division,51070001,HEALTH AND WELFARE INSURANCE,30142
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600202,HR CLASS AND COMPENSATION,16002,Personnel Operations Division,51070004,RETIREMENT PENSION CONTRIB,11492
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600202,HR CLASS AND COMPENSATION,16002,Personnel Operations Division,51510004,EMPLOYEE PARKING,1237
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600203,HR HRIS,16002,Personnel Operations Division,51000004,BUDGET-VACANCY DISCOUNT,-4770
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600203,HR HRIS,16002,Personnel Operations Division,51010001,SALARIES AND WAGES,224944
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600203,HR HRIS,16002,Personnel Operations Division,51070001,HEALTH AND WELFARE INSURANCE,38256
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600203,HR HRIS,16002,Personnel Operations Division,51070004,RETIREMENT PENSION CONTRIB,13583
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600203,HR HRIS,16002,Personnel Operations Division,51510004,EMPLOYEE PARKING,2140
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600301,HR LABOR RELATIONS,16003,Labor Relations/Training,51000004,BUDGET-VACANCY DISCOUNT,-6041
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600301,HR LABOR RELATIONS,16003,Labor Relations/Training,51010001,SALARIES AND WAGES,283798
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600301,HR LABOR RELATIONS,16003,Labor Relations/Training,51070001,HEALTH AND WELFARE INSURANCE,38836
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600301,HR LABOR RELATIONS,16003,Labor Relations/Training,51070004,RETIREMENT PENSION CONTRIB,18337
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600301,HR LABOR RELATIONS,16003,Labor Relations/Training,51510004,EMPLOYEE PARKING,1521
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600301,HR LABOR RELATIONS,16003,Labor Relations/Training,51510016,MILEAGE REIMBURSEMENT NP,1300
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600302,HR POLICY COMPLIANCE,16003,Labor Relations/Training,51000004,BUDGET-VACANCY DISCOUNT,-2935
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600302,HR POLICY COMPLIANCE,16003,Labor Relations/Training,51010001,SALARIES AND WAGES,137497
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600302,HR POLICY COMPLIANCE,16003,Labor Relations/Training,51070001,HEALTH AND WELFARE INSURANCE,17969
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600302,HR POLICY COMPLIANCE,16003,Labor Relations/Training,51070004,RETIREMENT PENSION CONTRIB,9162
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600302,HR POLICY COMPLIANCE,16003,Labor Relations/Training,51510004,EMPLOYEE PARKING,902
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600302,HR POLICY COMPLIANCE,16003,Labor Relations/Training,52040046,PROFESSIONAL SERVICES-OTHER,14102
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600401,HR RETIREMENT SAVINGS,16004,Benefits,51000004,BUDGET-VACANCY DISCOUNT,-134
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600401,HR RETIREMENT SAVINGS,16004,Benefits,51010001,SALARIES AND WAGES,6205
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600401,HR RETIREMENT SAVINGS,16004,Benefits,51070001,HEALTH AND WELFARE INSURANCE,580
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600401,HR RETIREMENT SAVINGS,16004,Benefits,51070004,RETIREMENT PENSION CONTRIB,481
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600402,HR HEALTH AND WELFARE BENEFITS,16004,Benefits,51000004,BUDGET-VACANCY DISCOUNT,-7317
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600402,HR HEALTH AND WELFARE BENEFITS,16004,Benefits,51010001,SALARIES AND WAGES,343546
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600402,HR HEALTH AND WELFARE BENEFITS,16004,Benefits,51070001,HEALTH AND WELFARE INSURANCE,61443
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600402,HR HEALTH AND WELFARE BENEFITS,16004,Benefits,51070004,RETIREMENT PENSION CONTRIB,22322
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600402,HR HEALTH AND WELFARE BENEFITS,16004,Benefits,51510004,EMPLOYEE PARKING,3326
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600501,HR OCCUPATIONAL HEALTH,16005,Occupational Health,51000004,BUDGET-VACANCY DISCOUNT,-4424
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600501,HR OCCUPATIONAL HEALTH,16005,Occupational Health,51010001,SALARIES AND WAGES,208630
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600501,HR OCCUPATIONAL HEALTH,16005,Occupational Health,51070001,HEALTH AND WELFARE INSURANCE,22027
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600501,HR OCCUPATIONAL HEALTH,16005,Occupational Health,51070004,RETIREMENT PENSION CONTRIB,12597
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1600501,HR OCCUPATIONAL HEALTH,16005,Occupational Health,52040004,PROFESSIONAL SVC-MEDICAL,201034
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900101,CLERK EXECUTIVE LEADERSHIP,19001,City Clerks Office,51000004,BUDGET-VACANCY DISCOUNT,-94
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900101,CLERK EXECUTIVE LEADERSHIP,19001,City Clerks Office,51010001,SALARIES AND WAGES,4411
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900101,CLERK EXECUTIVE LEADERSHIP,19001,City Clerks Office,51070001,HEALTH AND WELFARE INSURANCE,464
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900101,CLERK EXECUTIVE LEADERSHIP,19001,City Clerks Office,51070004,RETIREMENT PENSION CONTRIB,309
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900101,CLERK EXECUTIVE LEADERSHIP,19001,City Clerks Office,51130004,CAR ALLOWANCE,60
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900101,CLERK EXECUTIVE LEADERSHIP,19001,City Clerks Office,51510004,EMPLOYEE PARKING,29
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,51000004,BUDGET-VACANCY DISCOUNT,-4114
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,51010001,SALARIES AND WAGES,193373
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,51070001,HEALTH AND WELFARE INSURANCE,35359
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,51070004,RETIREMENT PENSION CONTRIB,12417
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,51130004,CAR ALLOWANCE,1050
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,51510004,EMPLOYEE PARKING,1040
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,52130001,MEMBERSHIPS,230
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,52250001,ADVERTISING,78400
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,52340016,MACHINERY AND EQUIPMENT MTCE,546
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900201,CLERK INFORMATION,19002,Official City Records,53010001,OFFICE SUPPLIES,1263
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,51000004,BUDGET-VACANCY DISCOUNT,-3158
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,51010001,SALARIES AND WAGES,148172
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,51070001,HEALTH AND WELFARE INSURANCE,25273
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,51070004,RETIREMENT PENSION CONTRIB,9686
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,51130004,CAR ALLOWANCE,1050
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,51510004,EMPLOYEE PARKING,434
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,52010028,MISCELLANEOUS SRVCS CONTRACTS,6001
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,52130001,MEMBERSHIPS,507
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,52340016,MACHINERY AND EQUIPMENT MTCE,546
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,52890001,OTHER SERVICES AND CHARGES,752
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900202,CLERK RECORDS MANAGEMENT,19002,Official City Records,53010001,OFFICE SUPPLIES,1263
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,51000004,BUDGET-VACANCY DISCOUNT,-2488
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,51010001,SALARIES AND WAGES,117180
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,51070001,HEALTH AND WELFARE INSURANCE,16231
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,51070004,RETIREMENT PENSION CONTRIB,7287
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,51130004,CAR ALLOWANCE,300
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,51510004,EMPLOYEE PARKING,606
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,52130001,MEMBERSHIPS,230
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,52340016,MACHINERY AND EQUIPMENT MTCE,558
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,52400007,OTHER EQUIPMENT RENTAL,3500
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900203,CLERK AGENDA MANAGEMENT,19002,Official City Records,53010001,OFFICE SUPPLIES,1263
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,51000004,BUDGET-VACANCY DISCOUNT,-1973
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,51010001,SALARIES AND WAGES,92977
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,51070001,HEALTH AND WELFARE INSURANCE,18433
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,51070004,RETIREMENT PENSION CONTRIB,5700
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,51130004,CAR ALLOWANCE,120
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,51510004,EMPLOYEE PARKING,491
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,1900204,CLERK BIDDING,19002,Official City Records,53010001,OFFICE SUPPLIES,1263
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,51000004,BUDGET-VACANCY DISCOUNT,-5627
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,51010001,SALARIES AND WAGES,265218
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,51070001,HEALTH AND WELFARE INSURANCE,23186
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,51070004,RETIREMENT PENSION CONTRIB,16114
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,51130004,CAR ALLOWANCE,3500
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,51510004,EMPLOYEE PARKING,10803
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,52040046,PROFESSIONAL SERVICES-OTHER,8000
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,52130001,MEMBERSHIPS,5500
FY14-15,Expense,1,GENERAL FUND,1,GENERAL OPERATIONS-UASN,2400101,PLANNING EXECUTIVE LEADERSHIP,24001,Planning Admin,52890001,OTHER SERVICES AND CHARGES,5000
