Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,61348
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Personnel Services,Retirement Fund Contribution,162434
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Personnel Services,Unemployment Compensation,1031
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Contractual Services,1086612
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,17040
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Insurance Premiums,4737
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Claims,20008
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Telephone,10000
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,1000
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Other Travel & Training,20000
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Electricity,1648000
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Maintenance Service,10000
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,6373
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,90373
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,253261
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,311 Call Center Services,11564
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Engineering Services,510
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Employee Parking,1200
FY20,Expense,Public Services,Street Lighting,General Fund Operating,Other Services and Charges,Computer Services-from IT,47115
FY20,Revenue,Public Services,Street Lighting,General Fund Operating,Other Revenues,Claims-Damage-Accident Billings,36000
FY20,Revenue,Public Services,Street Lighting,General Fund Operating,Charges for Services,Administration Services,917664
FY20,Revenue,Public Services,Street Lighting,General Fund Operating,Charges for Services,Street-Expressway Lighting Main,1000
FY20,Revenue,Public Services,Street Lighting,General Fund Operating,Charges for Services,Street Lighting Services,210000
FY20,Revenue,Public Services,Street Lighting,General Fund Operating,Charges for Services,Sale of Scrap Material,2000
FY20,Revenue,Public Services,Street Lighting,General Fund Operating,Charges for Services,Electric Power Dist-Gas Aggregate,978500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,132500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,3500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Capital Outlays,Equipment,15000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Financing,Appropriation Lapse,-24705
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Full Time Employees,492209
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Acting Assignment,1000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,164648
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Time & One-half,45000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,53748
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Hospitalization Insurance,129648
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retiree Health Care-OPEB,41266
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retirement Fund Contribution,109195
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,5310
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contractual Services,118975
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contract Employees-Temporary Services,375854
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Insurance Premiums,12453
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Claims,57962
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Telephone,4750
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Phone Reimbursement,909
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Other Travel & Training,1500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Water,175000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Refuse Collection Charges,36100
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Electricity,143500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Natural Gas,31500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Maintenance Service,100425
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Equipment Rentals or Lease,266082
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,179361
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Fleet Management Equipment Charges,239336
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,311 Call Center Services,4171
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Engineering Services,2550
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,A-87 Cost Allocation,173932
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Licenses & Permits,Miscellaneous Permits,5000
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Service Fees-General,52000
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Sale of Scrap Material,500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,3900
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,2100
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,22586
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,1728
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,856
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,50752
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,8570
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Subscriptions and Publications,1554
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Capital Outlays,Computer Equipment,7200
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Capital Outlays,Software,1700
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Financing,Appropriation Lapse,-27599
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Full Time Employees,550177
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Time & One-half,4797
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,42440
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Hospitalization Insurance,115476
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retiree Health Care-OPEB,47038
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retirement Fund Contribution,124500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,768
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contractual Services,12000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contract Employees-Temporary Services,13000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Telephone,1559
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Phone Reimbursement,550
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Postage,4440
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Advertising - Any Media,2440
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Other Travel & Training,15000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Memberships,4300
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Equipment Rentals or Lease,25788
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,45667
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Fleet Management Equipment Charges,5243
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Parking,3600
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Computer Services-from IT,163144
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Other Financing Sources,Operating Transfers-Subsidy,6433062
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Contribution from Local Units,Other Local Government Program,57000
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Financing,Operating Trans-Misc,244800
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,9800
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,1500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Capital Outlays,Equipment,23000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Financing,Appropriation Lapse,-9357
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Full Time Employees,186513
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Time & One-half,13300
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,14257
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Hospitalization Insurance,47724
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retiree Health Care-OPEB,15946
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retirement Fund Contribution,42210
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,780
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contractual Services,10000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contract Employees-Temporary Services,71901
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Claims,3344
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Telephone,1574
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Phone Reimbursement,-357
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Community Promotion,35000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Printing & Publishing,1600
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Professional Development,11000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Maintenance Service,18000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Equipment Rentals or Lease,3938
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,43558
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Fleet Management Equipment Charges,20694
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,311 Call Center Services,2465
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Parking,3600
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,A-87 Cost Allocation,21741
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Licenses & Permits,Miscellaneous Permits,85502
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Special Event Billings Labor,12742
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Special Event Services,75000
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Other Financing Sources,Operating Transfers-Subsidy,297500
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Investment Income & Rentals,Rentals-Facilities,71533
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Investment Income & Rentals,Rentals-Equipment,62621
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Concessions,7425
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,63500
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Investment Income & Rentals,Rentals-Facilities,675
FY20,Expense,Public Services,Parks and Recreation,Capital Improvement,Capital Outlays,Land,300000
FY20,Expense,Public Services,Parks and Recreation,Capital Improvement,Capital Outlays,Building,376000
FY20,Revenue,Public Services,Parks and Recreation,Capital Improvement,Other Financing Sources,Operating Transfers-Capital Projects,676000
FY20,Expense,Public Services,Parks and Recreation,Belknap Ice Arena,Other Services and Charges,Contractual Services,115000
FY20,Expense,Public Services,Parks and Recreation,Belknap Ice Arena,Other Services and Charges,Electricity,97000
FY20,Expense,Public Services,Parks and Recreation,Belknap Ice Arena,Other Services and Charges,Natural Gas,26500
FY20,Revenue,Public Services,Parks and Recreation,Belknap Ice Arena,Other Revenues,Restricted Contributions,118150
FY20,Revenue,Public Services,Parks and Recreation,Belknap Ice Arena,Other Revenues,Refunds-Rebates,123500
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Supplies,Supplies,50000
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Full Time Employees,58908
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Acting Assignment,100
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Temporary Noncontract Employees,49896
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Time & One-half,3000
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Employers FICA,8554
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Hospitalization Insurance,12780
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Retiree Health Care-OPEB,4620
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Retirement Fund Contribution,12240
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Unemployment Compensation,1963
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Contract Employees-Temporary Services,38265
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Fees,1500
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Telephone,104
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Employee Phone Reimbursement,243
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Water,147484
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Electricity,33981
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Natural Gas,5700
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Maintenance Service,30000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,5294
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,405
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,201
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,13940
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,10000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Financing,Appropriation Lapse,-3891
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Full Time Employees,81165
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,17892
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,7583
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Hospitalization Insurance,19248
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retiree Health Care-OPEB,6944
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retirement Fund Contribution,18357
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,786
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Default Payroll-Comp Abs,15000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contractual Services,4000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Fees,9700
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Claims,13638
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Telephone,1452
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Phone Reimbursement,-86
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,56793
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,311 Call Center Services,5119
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,A-87 Cost Allocation,21742
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Other Revenues,Restricted Contributions,15000
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Processing Fees,1500
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Special Event Fees,30000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,2150
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,250
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,35624
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,2725
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,1350
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contract Employees-Temporary Services,19020
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Concessions,750
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Admissions,80000
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,1750
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,1200
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,12600
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,964
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,476
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,960
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Full Time Employees,54549
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Employers FICA,4186
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Hospitalization Insurance,14628
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Retiree Health Care-OPEB,4664
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Retirement Fund Contribution,12321
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Unemployment Compensation,72
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Telephone,700
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Employee Phone Reimbursement,-29
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,311 Call Center Services,758
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,A-87 Cost Allocation,42152
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Supplies,Supplies,2700
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Supplies,Clothing,750
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Temporary Noncontract Employees,276877
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Time & One-half,1092
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Employers FICA,21265
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Unemployment Compensation,10494
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Telephone,1474
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,137394
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,6282
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Capital Outlays,Equipment,21000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Financing,Appropriation Lapse,-34447
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Full Time Employees,708984
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Acting Assignment,2507
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,32032
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Time & One-half,53200
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,60752
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Hospitalization Insurance,212472
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retiree Health Care-OPEB,60617
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Retirement Fund Contribution,160443
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,2216
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Contractual Services,285660
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Claims,98877
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Telephone,3917
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Employee Phone Reimbursement,3620
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Advertising - Any Media,2375
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Professional Development,7155
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Other Travel & Training,4560
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Memberships,1798
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Equipment Rentals or Lease,141107
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,145799
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Fleet Management Equipment Charges,447573
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,311 Call Center Services,41708
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,A-87 Cost Allocation,173932
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Other Financing Sources,Operating Transfers-Subsidy,391067
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Other Financing Sources,Operating Transfers-Misc,140000
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,3900
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,400
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,48965
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,3746
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,1856
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,89595
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Contractual Services,1303437
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,A-87 Cost Allocation,7202
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Supplies,Supplies,350
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Temporary Noncontract Employees,14135
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Employers FICA,1081
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Personnel Services,Unemployment Compensation,536
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,3500
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Clothing,7050
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,28217
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,2159
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,1069
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Other Services and Charges,Memberships,100
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Charges for Services,Recreation Registration Fees,64550
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Supplies,Supplies,2150
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Temporary Noncontract Employees,21821
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Employers FICA,1669
FY20,Expense,Public Services,Parks and Recreation,Parks & Recreation,Personnel Services,Unemployment Compensation,827
FY20,Revenue,Public Services,Parks and Recreation,Parks & Recreation,Investment Income & Rentals,Rentals-Facilities,90862
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Supplies,Supplies,25000
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Contractual Services,2139904
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,Claims,7492
FY20,Expense,Public Services,Parks and Recreation,Parks Millage,Other Services and Charges,A-87 Cost Allocation,12004
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Supplies,Supplies,3000
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Debt Service,Interest to Financial Institution,13025395
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Debt Service,Paying Agent Fees,328000
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Other Financing,Operating Trans-Capt Projects,13633000
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Other Financing,Appropriation Lapse,-1834000
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Personnel Services,Full Time Employees,316850
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Personnel Services,Employers FICA,24248
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Personnel Services,Hospitalization Insurance,55140
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Personnel Services,Retiree Health Care-OPEB,27078
FY20,Expense,Public Services,Environmental Services,Sewer Disposal Operations,Personnel Services,Retirement Fund Contribution,71674
