Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Public Services,Refuse,2100,2100 - Forestry-Millage,2260,Refuse Collection,Other Services and Charges,8010,Contractual Services,150000
FY17,Expense,Public Services,Refuse,2100,2100 - Forestry-Millage,2260,Refuse Collection,Other Services and Charges,8450,Claims,3986
FY17,Expense,Public Services,Refuse,2100,2100 - Forestry-Millage,2260,Refuse Collection,Supplies,7520,Supplies,500
FY17,Expense,Public Services,Refuse,2100,2100 - Forestry-Millage,2260,Refuse Collection,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,7417
FY17,Expense,Public Services,Refuse,2100,2100 - Forestry-Millage,2260,Refuse Collection,Other Financing,9952,Operating Transfers-A87 Cost,10709
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,67850
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,16101
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,3867
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,11500
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,11700
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,14000
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,538
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,1100
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,10884
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,74427
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,2500
FY17,Expense,Public Library,Library,2100,2100 - Madison Square Branch,2710,Public Library Operating,Capital Outlays,9800,Furniture,4060
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,9210,Natural Gas,27200
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7115,Retiree Health Care-OPEB,9753
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7105,Employers FICA,6215
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,9180,Water,12000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7020,Full Time Employees,80943
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,9630,Property Taxes,31500
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,9200,Electricity,300000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7055,Time & One-half,300
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7135,Unemployment Compensation,112
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7110,Hospitalization Insurance,18071
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,8500,Telephone,1200
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,9340,Maintenance Service,285000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Financing,9959,Appropriation Lapse,-8276
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Supplies,7520,Supplies,35003
FY17,Revenue,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Charges for Services,6371,Building Maint Charges to Departments,1175169
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,5173
FY17,Expense,Facilities & Fleet Management,Facilities Management,2100,2100 - Police Headquarters,6310,Facilities Mgmt-Operating,Personal Services,7120,Retirement Fund Contribution,19018
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7199,Default Payroll-Comp Abs,452994
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Revenues,6871,Refunds-Rebates,525000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7025,Acting Assignment,61000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,2028371
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7105,Employers FICA,220966
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9150,Memberships,665
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,2620956
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7175,Food-Clean-Car Allowance,72000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,6475
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,216000
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Fines & Forfeitures,6581,Parking Fines,260000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Financing,9951,Operating Trans Out-Subsidies,194169
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,5080
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Charges for Services,6512,Special Event Fees,200000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7055,Time & One-half,2381197
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Capital Outlays,9760,Equipment,60100
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Revenues,6901,Miscellaneous Other Revenue,10000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,33407
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,697188
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,2000
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Revenues,6771,Claims-Damage-Accident Billings,2500
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Financing Sources,6995,Operating Transfers-Misc,147033
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,78099
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Supplies,7520,Supplies,332325
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7020,Full Time Employees,11835717
FY17,Revenue,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,State Grants,5743,Liquor Licenses,190000
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,289973
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7050,Regular Hourly Rate,131105
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9340,Maintenance Service,22225
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,3404941
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Personal Services,7165,Shift Differential,279884
FY17,Expense,Police,Police,2100,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,1253959
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,129
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,11165
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7055,Time & One-half,15000
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7105,Employers FICA,7089
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,21771
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,92663
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,24586
FY17,Expense,Clerk's Office,Clerk,2100,2100 - Voter Registration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,564
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7110,Hospitalization Insurance,378629
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,8010,Contractual Services,849941
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9450,311 Call Center Services,493077
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Supplies,7520,Supplies,74756
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9000,Printing & Publishing,3000
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7135,Unemployment Compensation,2372
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9440,Fleet Management Equipment Charges,167049
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7040,Temporary Noncontract Employees,62188
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,8500,Telephone,14183
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7115,Retiree Health Care-OPEB,206210
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7055,Time & One-half,60340
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7020,Full Time Employees,1711361
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9470,Employee Parking,51208
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9340,Maintenance Service,604655
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,8510,Postage,1500
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7105,Employers FICA,130918
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7120,Retirement Fund Contribution,402085
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9410,Equipment Rentals or Lease,3897
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Other Services and Charges,9480,Computer Services-from IT,175269
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Capital Outlays,9760,Equipment,6064
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7025,Acting Assignment,3837
FY17,Expense,Enterprise Services,Water,2110,2110 - Cust Srv-Administration Genera,5910,Water Operations,Personal Services,7165,Shift Differential,1309
FY17,Expense,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Personal Services,7135,Unemployment Compensation,344
FY17,Expense,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Personal Services,7115,Retiree Health Care-OPEB,29883
FY17,Expense,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Personal Services,7120,Retirement Fund Contribution,58269
FY17,Expense,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Personal Services,7105,Employers FICA,18972
FY17,Revenue,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Licenses & Permits,4904,Electrical Permits,681125
FY17,Expense,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Personal Services,7020,Full Time Employees,248004
FY17,Expense,Design & Development,Building Inspections,2110,2110 - Electrical Inspection,2490,Building Inspections,Personal Services,7110,Hospitalization Insurance,49173
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,32730
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,7051
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,59436
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,4000
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,1500
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,1866
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,15000
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,7767
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,445
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,5850
FY17,Expense,Public Library,Library,2110,2110 - Ottawa Hills Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,10500
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,4580
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Services and Charges,9340,Maintenance Service,250000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7110,Hospitalization Insurance,21513
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7105,Employers FICA,8197
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Services and Charges,9200,Electricity,67000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Services and Charges,9210,Natural Gas,65000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Services and Charges,9180,Water,19300
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7120,Retirement Fund Contribution,22640
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7135,Unemployment Compensation,513
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Services and Charges,8400,Insurance Premiums,13757
FY17,Revenue,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Charges for Services,6371,Building Maint Charges to Departments,905505
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7040,Temporary Noncontract Employees,10000
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7115,Retiree Health Care-OPEB,11611
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7055,Time & One-half,800
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Other Financing,9959,Appropriation Lapse,-6289
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Supplies,7520,Supplies,40005
FY17,Expense,Facilities & Fleet Management,Facilities Management,2110,2110 - Public Service Center,6310,Facilities Mgmt-Operating,Personal Services,7020,Full Time Employees,96361
FY17,Expense,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Personal Services,7110,Hospitalization Insurance,24586
FY17,Expense,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Personal Services,7105,Employers FICA,9817
FY17,Expense,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Personal Services,7135,Unemployment Compensation,178
FY17,Expense,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Personal Services,7120,Retirement Fund Contribution,30150
FY17,Revenue,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Licenses & Permits,4906,Plumbing Permits,233606
FY17,Expense,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Personal Services,7020,Full Time Employees,128325
FY17,Expense,Design & Development,Building Inspections,2120,2120 - Plumbing Inspection,2490,Building Inspections,Personal Services,7115,Retiree Health Care-OPEB,15462
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Personal Services,7105,Employers FICA,26057
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,80028
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,41043
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,8500,Telephone,2400
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,9010,Advertising - Any Media,8000
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,61466
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,472
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,41000
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Personal Services,7020,Full Time Employees,340616
FY17,Expense,Human Resources,Human Resources,2120,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,9640
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,16952
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9470,Employee Parking,700
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9150,Memberships,535
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,1900
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9190,Refuse Collection Charges,1000
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,115290
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9100,Professional Development,3923
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,6060
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,17550
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,25227
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,106308
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,20600
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,112
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,20000
FY17,Expense,Public Library,Library,2120,2120 - Seymour Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,7000
FY17,Expense,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Personal Services,7120,Retirement Fund Contribution,54578
FY17,Expense,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Personal Services,7135,Unemployment Compensation,322
FY17,Expense,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Personal Services,7020,Full Time Employees,232298
FY17,Expense,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Personal Services,7105,Employers FICA,17771
FY17,Expense,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Personal Services,7110,Hospitalization Insurance,49173
FY17,Expense,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Personal Services,7115,Retiree Health Care-OPEB,27991
FY17,Revenue,Design & Development,Building Inspections,2130,2130 - Mechanical Inspection,2490,Building Inspections,Licenses & Permits,4900,Mechanical Permits,629640
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Other Services and Charges,9190,Refuse Collection Charges,1100
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,170
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Other Services and Charges,9150,Memberships,135
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,64844
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,11700
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,10000
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,1100
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,2900
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,13415
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,9285
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,56531
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,15000
FY17,Expense,Public Library,Library,2130,2130 - Van Belkum Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,3222
FY17,Expense,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Personal Services,7110,Hospitalization Insurance,89126
FY17,Expense,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Personal Services,7120,Retirement Fund Contribution,107191
FY17,Expense,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Personal Services,7135,Unemployment Compensation,632
FY17,Expense,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Personal Services,7020,Full Time Employees,456229
FY17,Revenue,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Licenses & Permits,4902,Building Permits,1339725
FY17,Expense,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Personal Services,7115,Retiree Health Care-OPEB,54973
FY17,Expense,Design & Development,Building Inspections,2140,2140 - Building Inspection,2490,Building Inspections,Personal Services,7105,Employers FICA,34901
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9190,Refuse Collection Charges,1000
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,4500
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,32994
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,18219
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,7925
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,1800
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,99117
